,pkmn_alive_difference
0,0
1,-3
2,-1
3,-3
4,-1
5,0
6,-1
7,-2
8,-3
9,-2
10,-3
11,-3
12,-1
13,-1
14,-2
15,0
16,0
17,-2
18,0
19,-3
20,0
21,-1
22,-3
23,-1
24,-5
25,-1
26,-1
27,-1
28,-2
29,-3
30,-3
31,-1
32,-1
33,0
34,-4
35,-2
36,0
37,-2
38,0
39,-1
40,-2
41,-1
42,-1
43,0
44,-1
45,0
46,-2
47,-2
48,0
49,-3
50,-2
51,-1
52,0
53,-2
54,0
55,0
56,0
57,0
58,-3
59,-1
60,-1
61,0
62,-1
63,-3
64,0
65,-2
66,0
67,0
68,0
69,-1
70,-2
71,-2
72,-3
73,-1
74,-1
75,-2
76,-3
77,0
78,-3
79,-2
80,-1
81,0
82,-1
83,-1
84,0
85,-2
86,-4
87,-1
88,-1
89,-2
90,-3
91,-1
92,0
93,-5
94,-2
95,0
96,-4
97,-1
98,-3
99,0
100,0
101,-3
102,-1
103,-3
104,-1
105,-1
106,-3
107,-3
108,0
109,0
110,-1
111,-2
112,-3
113,0
114,0
115,-2
116,0
117,-1
118,-1
119,-2
120,-3
121,-4
122,0
123,-2
124,-1
125,-1
126,0
127,-2
128,0
129,-3
130,-1
131,-3
132,-3
133,-1
134,-1
135,0
136,0
137,-3
138,-1
139,0
140,-2
141,-2
142,-3
143,-1
144,-2
145,-1
146,-2
147,-2
148,0
149,-2
150,-1
151,-1
152,0
153,-1
154,-1
155,-2
156,0
157,-3
158,-1
159,-1
160,-2
161,0
162,-1
163,-2
164,-2
165,-2
166,-1
167,0
168,-1
169,-2
170,-4
171,-1
172,-1
173,-2
174,-1
175,-2
176,-1
177,-2
178,-1
179,-3
180,-1
181,-1
182,-2
183,0
184,0
185,0
186,0
187,-2
188,-5
189,0
190,-1
191,-1
192,-3
193,-2
194,-1
195,-3
196,-1
197,0
198,0
199,-2
200,-4
201,-2
202,-1
203,-2
204,-2
205,-3
206,-1
207,-2
208,-1
209,-2
210,0
211,-1
212,-2
213,-2
214,-2
215,0
216,-1
217,-4
218,0
219,-2
220,-3
221,-1
222,-1
223,-2
224,0
225,-2
226,0
227,-4
228,-1
229,-1
230,-2
231,-1
232,0
233,-2
234,-1
235,-1
236,0
237,-1
238,-1
239,-1
240,-1
241,0
242,-1
243,-2
244,-1
245,-2
246,-1
247,-2
248,-1
249,-3
250,0
251,0
252,0
253,-1
254,-1
255,-1
256,0
257,0
258,-2
259,-1
260,0
261,-1
262,-2
263,-1
264,-1
265,-1
266,-2
267,-2
268,-1
269,-5
270,-3
271,-4
272,-1
273,0
274,0
