,p1_hp_trend,p2_hp_trend,hp_trend_diff
0,-15.833333333333329,-41.66666666666667,25.833333333333343
1,-53.33333333333333,0.0,-53.33333333333333
2,-15.833333333333343,0.0,-15.833333333333343
3,-67.5,0.0,-67.5
4,-26.66666666666667,0.0,-26.66666666666667
5,0.0,0.0,0.0
6,-37.50000000000001,-68.33333333333334,30.833333333333336
7,-25.833333333333336,0.0,-25.833333333333336
8,-51.66666666666667,-41.66666666666667,-10.0
9,-25.0,0.0,-25.0
10,-43.33333333333333,-13.333333333333336,-29.999999999999993
11,-53.33333333333333,0.0,-53.33333333333333
12,-68.33333333333333,-26.666666666666657,-41.66666666666667
13,-25.0,-10.0,-15.0
14,-51.66666666666667,0.0,-51.66666666666667
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,-23.33333333333333,0.0,-23.33333333333333
18,0.0,0.0,0.0
19,-40.0,0.0,-40.0
20,-41.66666666666667,-8.333333333333329,-33.33333333333334
21,-12.5,0.0,-12.5
22,-51.66666666666666,0.0,-51.66666666666666
23,-15.833333333333329,0.0,-15.833333333333329
24,-120.83333333333334,0.0,-120.83333333333334
25,-10.833333333333329,0.0,-10.833333333333329
26,-17.5,0.0,-17.5
27,-26.66666666666667,0.0,-26.66666666666667
28,-30.0,0.0,-30.0
29,-94.16666666666667,-41.66666666666667,-52.5
30,-37.5,0.0,-37.5
31,-10.833333333333329,0.0,-10.833333333333329
32,-61.666666666666664,-72.5,10.833333333333336
33,0.0,0.0,0.0
34,-94.16666666666666,0.0,-94.16666666666666
35,-20.0,0.0,-20.0
36,0.0,0.0,0.0
37,-25.0,0.0,-25.0
38,0.0,0.0,0.0
39,-10.833333333333329,0.0,-10.833333333333329
40,-42.5,0.0,-42.5
41,-26.66666666666667,0.0,-26.66666666666667
42,-17.5,0.0,-17.5
43,-26.666666666666657,-41.66666666666666,15.0
44,-10.0,0.0,-10.0
45,0.0,0.0,0.0
46,-47.5,-26.666666666666664,-20.833333333333336
47,-42.5,0.0,-42.5
48,0.0,0.0,0.0
49,-46.66666666666667,0.0,-46.66666666666667
50,-42.5,0.0,-42.5
51,-26.66666666666667,0.0,-26.66666666666667
52,-8.333333333333343,-41.66666666666666,33.333333333333314
53,-37.5,0.0,-37.5
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,-65.83333333333333,-41.66666666666667,-24.166666666666657
59,-41.66666666666666,-26.666666666666657,-15.0
60,-15.833333333333336,0.0,-15.833333333333336
61,-41.66666666666666,-26.66666666666667,-14.999999999999986
62,-15.833333333333329,0.0,-15.833333333333329
63,-36.66666666666667,0.0,-36.66666666666667
64,0.0,0.0,0.0
65,-28.33333333333333,0.0,-28.33333333333333
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,-9.166666666666657,-15.833333333333343,6.666666666666686
69,-26.66666666666667,0.0,-26.66666666666667
70,-42.50000000000001,0.0,-42.50000000000001
71,-25.833333333333343,0.0,-25.833333333333343
72,-37.5,0.0,-37.5
73,-25.833333333333343,-10.833333333333329,-15.000000000000014
74,-12.5,0.0,-12.5
75,-19.16666666666667,0.0,-19.16666666666667
76,-39.16666666666667,0.0,-39.16666666666667
77,0.0,0.0,0.0
78,-38.333333333333336,0.0,-38.333333333333336
79,-68.33333333333334,0.0,-68.33333333333334
80,-15.833333333333343,0.0,-15.833333333333343
81,0.0,0.0,0.0
82,-68.33333333333334,-26.66666666666667,-41.66666666666667
83,-15.833333333333329,0.0,-15.833333333333329
84,0.0,0.0,0.0
85,-28.5,0.0,-28.5
86,-91.66666666666666,0.0,-91.66666666666666
87,-9.166666666666671,0.0,-9.166666666666671
88,-55.0,-50.0,-5.0
89,-57.49999999999999,0.0,-57.49999999999999
90,-35.0,0.0,-35.0
91,-26.666666666666657,0.0,-26.666666666666657
92,0.0,0.0,0.0
93,-96.66666666666667,0.0,-96.66666666666667
94,-84.16666666666667,-13.333333333333329,-70.83333333333334
95,0.0,0.0,0.0
96,-112.5,-41.66666666666667,-70.83333333333333
97,-15.833333333333329,0.0,-15.833333333333329
98,-65.0,0.0,-65.0
99,-41.66666666666666,-26.66666666666667,-14.999999999999986
100,-15.833333333333329,-15.833333333333329,0.0
101,-39.166666666666664,0.0,-39.166666666666664
102,-26.66666666666667,0.0,-26.66666666666667
103,-52.5,-10.0,-42.5
104,-10.833333333333329,0.0,-10.833333333333329
105,-54.16666666666667,-8.333333333333343,-45.83333333333333
106,-55.833333333333336,0.0,-55.833333333333336
107,-93.33333333333333,-12.5,-80.83333333333333
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,-41.66666666666667,0.0,-41.66666666666667
111,-42.5,0.0,-42.5
112,-51.66666666666666,0.0,-51.66666666666666
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,-36.66666666666667,0.0,-36.66666666666667
116,0.0,0.0,0.0
117,-68.33333333333333,-15.0,-53.33333333333333
118,-26.66666666666667,0.0,-26.66666666666667
119,-20.833333333333343,0.0,-20.833333333333343
120,-51.66666666666666,0.0,-51.66666666666666
121,-78.33333333333333,0.0,-78.33333333333333
122,0.0,0.0,0.0
123,-39.16666666666666,0.0,-39.16666666666666
124,-26.66666666666667,0.0,-26.66666666666667
125,-68.33333333333334,-15.833333333333329,-52.500000000000014
126,-26.66666666666667,-26.66666666666667,0.0
127,-51.66666666666667,0.0,-51.66666666666667
128,-26.66666666666667,-26.66666666666667,0.0
129,-34.16666666666667,0.0,-34.16666666666667
130,-12.5,0.0,-12.5
131,-101.66666666666667,-10.0,-91.66666666666667
132,-53.333333333333336,0.0,-53.333333333333336
133,-40.83333333333334,-68.33333333333333,27.499999999999986
134,-10.833333333333329,0.0,-10.833333333333329
135,-41.66666666666667,-10.0,-31.66666666666667
136,0.0,0.0,0.0
137,-49.16666666666667,0.0,-49.16666666666667
138,-26.66666666666667,0.0,-26.66666666666667
139,0.0,0.0,0.0
140,-57.49999999999999,0.0,-57.49999999999999
141,-36.66666666666667,0.0,-36.66666666666667
142,-64.16666666666666,0.0,-64.16666666666666
143,-26.666666666666657,0.0,-26.666666666666657
144,-42.5,0.0,-42.5
145,-26.666666666666657,-26.66666666666668,2.1316282072803006e-14
146,-39.99999999999999,0.0,-39.99999999999999
147,-92.5,-54.16666666666667,-38.33333333333333
148,0.0,0.0,0.0
149,-42.5,0.0,-42.5
150,-26.666666666666657,0.0,-26.666666666666657
151,-41.66666666666667,0.0,-41.66666666666667
152,-41.66666666666666,-15.833333333333343,-25.833333333333314
153,-10.0,0.0,-10.0
154,-12.5,0.0,-12.5
155,-56.66666666666667,0.0,-56.66666666666667
156,0.0,0.0,0.0
157,-37.5,0.0,-37.5
158,-10.0,0.0,-10.0
159,-50.83333333333333,-15.833333333333343,-34.999999999999986
160,-40.0,0.0,-40.0
161,0.0,0.0,0.0
162,-15.833333333333343,0.0,-15.833333333333343
163,-59.99999999999999,-41.66666666666666,-18.333333333333336
164,-51.66666666666667,-15.833333333333329,-35.83333333333334
165,-42.5,0.0,-42.5
166,-26.666666666666657,0.0,-26.666666666666657
167,-15.833333333333329,-9.166666666666671,-6.666666666666657
168,-26.66666666666667,0.0,-26.66666666666667
169,-52.5,0.0,-52.5
170,-105.0,-26.66666666666667,-78.33333333333333
171,-23.33333333333333,-26.66666666666667,3.333333333333343
172,-10.833333333333343,0.0,-10.833333333333343
173,-43.33333333333333,-9.166666666666657,-34.16666666666667
174,-21.66666666666667,0.0,-21.66666666666667
175,-26.666666666666657,0.0,-26.666666666666657
176,-9.166666666666657,0.0,-9.166666666666657
177,-37.5,0.0,-37.5
178,-25.833333333333343,-41.66666666666667,15.833333333333329
179,-38.33333333333334,0.0,-38.33333333333334
180,-17.5,0.0,-17.5
181,-35.83333333333333,-15.833333333333329,-20.0
182,-36.66666666666667,0.0,-36.66666666666667
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,-41.66666666666667,-15.833333333333343,-25.83333333333333
186,-15.833333333333329,-15.833333333333343,1.4210854715202004e-14
187,-42.5,0.0,-42.5
188,-105.83333333333334,0.0,-105.83333333333334
189,0.0,0.0,0.0
190,-9.166666666666657,0.0,-9.166666666666657
191,-49.16666666666667,-42.5,-6.666666666666671
192,-48.333333333333336,0.0,-48.333333333333336
193,-27.5,-41.66666666666667,14.166666666666671
194,-52.5,-15.833333333333343,-36.66666666666666
195,-51.66666666666666,0.0,-51.66666666666666
196,-15.833333333333343,0.0,-15.833333333333343
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,-68.33333333333331,0.0,-68.33333333333331
200,-68.0,0.0,-68.0
201,-23.333333333333343,0.0,-23.333333333333343
202,-26.666666666666657,0.0,-26.666666666666657
203,-31.66666666666667,0.0,-31.66666666666667
204,-25.83333333333333,0.0,-25.83333333333333
205,-89.16666666666669,-41.66666666666667,-47.500000000000014
206,-9.166666666666671,0.0,-9.166666666666671
207,-24.166666666666664,0.0,-24.166666666666664
208,-10.833333333333329,0.0,-10.833333333333329
209,-68.33333333333334,0.0,-68.33333333333334
210,0.0,0.0,0.0
211,-17.5,0.0,-17.5
212,-52.5,0.0,-52.5
213,-42.5,0.0,-42.5
214,-52.5,-41.66666666666667,-10.833333333333329
215,0.0,0.0,0.0
216,-41.666666666666664,0.0,-41.666666666666664
217,-45.0,0.0,-45.0
218,-26.66666666666667,-26.66666666666667,0.0
219,-79.16666666666666,-15.833333333333329,-63.33333333333333
220,-51.83333333333334,0.0,-51.83333333333334
221,-26.66666666666667,0.0,-26.66666666666667
222,-77.5,-42.5,-35.0
223,-41.66666666666667,0.0,-41.66666666666667
224,-9.166666666666671,-10.0,0.8333333333333286
225,-42.5,0.0,-42.5
226,-8.333333333333343,-15.833333333333329,7.499999999999986
227,-78.33333333333334,0.0,-78.33333333333334
228,-72.5,-28.33333333333333,-44.16666666666667
229,-12.499999999999993,0.0,-12.499999999999993
230,-42.5,0.0,-42.5
231,-10.0,0.0,-10.0
232,0.0,0.0,0.0
233,-51.66666666666666,-15.833333333333329,-35.83333333333333
234,-28.33333333333333,-41.66666666666667,13.333333333333343
235,-48.33333333333334,-9.166666666666671,-39.16666666666667
236,0.0,0.0,0.0
237,-10.833333333333329,0.0,-10.833333333333329
238,-10.833333333333343,0.0,-10.833333333333343
239,-15.0,0.0,-15.0
240,-25.0,-15.833333333333343,-9.166666666666657
241,-15.833333333333343,-15.833333333333343,0.0
242,-15.833333333333343,0.0,-15.833333333333343
243,-42.5,0.0,-42.5
244,-26.66666666666667,0.0,-26.66666666666667
245,-52.5,0.0,-52.5
246,-26.66666666666667,0.0,-26.66666666666667
247,-51.66666666666667,0.0,-51.66666666666667
248,-20.833333333333336,-15.833333333333329,-5.000000000000007
249,-84.16666666666667,0.0,-84.16666666666667
250,0.0,0.0,0.0
251,-26.666666666666657,-26.66666666666667,1.4210854715202004e-14
252,0.0,0.0,0.0
253,-41.66666666666667,0.0,-41.66666666666667
254,-10.0,0.0,-10.0
255,-52.49999999999999,-36.66666666666667,-15.833333333333321
256,-57.5,-57.500000000000014,1.4210854715202004e-14
257,0.0,0.0,0.0
258,-26.66666666666667,0.0,-26.66666666666667
259,-36.666666666666664,-15.833333333333329,-20.833333333333336
260,0.0,0.0,0.0
261,-26.66666666666667,0.0,-26.66666666666667
262,-25.83333333333333,0.0,-25.83333333333333
263,-41.66666666666667,0.0,-41.66666666666667
264,-8.333333333333336,0.0,-8.333333333333336
265,-15.0,0.0,-15.0
266,-31.66666666666667,0.0,-31.66666666666667
267,-35.833333333333336,0.0,-35.833333333333336
268,-26.66666666666667,0.0,-26.66666666666667
269,-110.0,0.0,-110.0
270,-55.0,0.0,-55.0
271,-69.16666666666666,0.0,-69.16666666666666
272,-10.0,0.0,-10.0
273,0.0,0.0,0.0
274,0.0,0.0,0.0
275,-10.833333333333329,0.0,-10.833333333333329
276,-65.83333333333333,-10.0,-55.83333333333333
277,0.0,0.0,0.0
278,-78.33333333333334,-26.666666666666686,-51.66666666666666
279,-34.166666666666664,0.0,-34.166666666666664
280,-105.83333333333333,-41.66666666666667,-64.16666666666666
281,-56.666666666666664,0.0,-56.666666666666664
282,0.0,0.0,0.0
283,-50.83333333333333,-10.0,-40.83333333333333
284,-25.83333333333333,0.0,-25.83333333333333
285,0.0,0.0,0.0
286,-57.5,-9.166666666666671,-48.33333333333333
287,-25.833333333333336,0.0,-25.833333333333336
288,-41.66666666666666,0.0,-41.66666666666666
289,0.0,0.0,0.0
290,-41.66666666666667,0.0,-41.66666666666667
291,-13.0,-15.833333333333329,2.8333333333333286
292,-79.16666666666666,0.0,-79.16666666666666
293,-55.0,0.0,-55.0
294,-60.0,0.0,-60.0
295,-57.5,0.0,-57.5
296,-10.0,0.0,-10.0
297,-57.49999999999999,0.0,-57.49999999999999
298,0.0,0.0,0.0
299,-10.833333333333329,-8.333333333333329,-2.5
300,-25.833333333333343,0.0,-25.833333333333343
301,0.0,0.0,0.0
302,-89.16666666666669,0.0,-89.16666666666669
303,0.0,0.0,0.0
304,-26.66666666666667,-26.66666666666667,0.0
