,p1_pkmn_alive
0,5
1,3
2,5
3,3
4,5
5,6
6,3
7,4
8,2
9,4
10,2
11,3
12,4
13,4
14,4
15,6
16,6
17,4
18,6
19,3
20,5
21,5
22,3
23,5
24,1
25,5
26,5
27,5
28,4
29,2
30,3
31,5
32,2
33,6
34,2
35,4
36,6
37,4
38,6
39,5
40,4
41,5
42,5
43,5
44,5
45,6
46,3
47,4
48,6
49,3
50,4
51,5
52,5
53,4
54,6
55,6
56,6
57,6
58,2
59,4
60,5
61,5
62,5
63,3
64,6
65,4
66,6
67,6
68,5
69,5
70,4
71,4
72,3
73,4
74,5
75,4
76,3
77,6
78,3
79,4
80,5
81,6
82,4
83,5
84,6
85,4
86,2
87,5
88,3
89,4
90,3
91,5
92,6
93,1
94,3
95,6
96,1
97,5
98,3
99,5
100,5
101,3
102,5
103,2
104,5
105,4
106,3
107,2
108,6
109,6
110,5
111,4
112,3
113,6
114,6
115,4
116,6
117,4
118,5
119,4
120,3
121,2
122,6
123,4
124,5
125,4
126,5
127,4
128,5
129,3
130,5
131,2
132,3
133,3
134,5
135,5
136,6
137,3
138,5
139,6
140,4
141,4
142,3
143,5
144,4
145,4
146,4
147,2
148,6
149,4
150,5
151,5
152,5
153,5
154,5
155,4
156,6
157,3
158,5
159,4
160,4
161,6
162,5
163,3
164,3
165,4
166,5
167,5
168,5
169,4
170,1
171,4
172,5
173,3
174,5
175,4
176,5
177,4
178,4
179,3
180,5
181,4
182,4
183,6
184,6
185,5
186,5
187,4
188,1
189,6
190,5
191,3
192,3
193,3
194,4
195,3
196,5
197,6
198,6
199,4
200,2
201,4
202,5
203,4
204,4
205,2
206,5
207,4
208,5
209,4
210,6
211,5
212,4
213,4
214,3
215,6
216,5
217,2
218,5
219,3
220,3
221,5
222,3
223,4
224,5
225,4
226,5
227,2
228,3
229,5
230,4
231,5
232,6
233,3
234,4
235,4
236,6
237,5
238,5
239,5
240,4
241,5
242,5
243,4
244,5
245,4
246,5
247,4
248,4
249,3
250,6
251,5
252,6
253,5
254,5
255,3
256,4
257,6
258,4
259,4
260,6
261,5
262,4
263,5
264,5
265,5
266,4
267,4
268,5
269,1
270,3
271,2
272,5
273,6
274,6
275,5
276,3
277,6
278,3
279,3
280,2
281,3
282,6
283,4
284,4
285,6
286,3
287,4
288,5
289,6
290,5
291,5
292,3
293,4
294,2
295,3
296,5
297,4
298,6
299,5
300,4
301,6
302,2
303,6
304,4
305,5
306,5
307,4
308,6
309,5
310,5
311,5
312,4
313,4
314,2
315,5
316,3
317,4
318,5
319,4
320,4
321,4
322,4
323,6
324,4
325,2
326,3
327,4
328,5
329,3
330,4
331,6
332,3
333,3
334,3
335,3
336,3
337,4
338,3
339,4
340,3
341,5
342,5
343,5
344,6
345,5
346,6
347,3
348,4
349,6
350,5
351,6
352,4
353,5
354,4
355,4
356,5
357,3
358,4
359,6
360,4
361,4
362,5
363,4
364,2
365,6
366,5
367,4
368,4
369,3
370,3
371,3
372,5
