,p1_mean_atk_last
0,31.666666666666668
1,30.0
2,19.166666666666668
3,33.333333333333336
4,41.666666666666664
5,70.83333333333333
6,39.166666666666664
7,40.0
8,8.333333333333334
9,50.833333333333336
10,0.8333333333333334
11,13.333333333333334
12,40.833333333333336
13,48.333333333333336
14,34.166666666666664
15,39.166666666666664
16,64.16666666666667
17,11.666666666666666
18,31.666666666666668
19,35.0
20,42.5
21,40.0
22,0.8333333333333334
23,26.666666666666668
24,16.666666666666668
25,25.0
26,43.333333333333336
27,25.0
28,31.666666666666668
29,31.666666666666668
30,19.166666666666668
31,49.166666666666664
32,16.666666666666668
33,84.16666666666667
34,25.0
35,0.8333333333333334
36,30.833333333333332
37,50.0
38,85.83333333333333
39,33.333333333333336
40,30.0
41,28.333333333333332
42,47.5
43,37.5
44,44.166666666666664
45,40.0
46,21.666666666666668
47,31.666666666666668
48,37.5
49,19.166666666666668
50,17.5
51,45.833333333333336
52,27.5
53,27.5
54,38.333333333333336
55,55.833333333333336
56,57.5
57,75.0
58,0.8333333333333334
59,11.666666666666666
60,39.166666666666664
61,53.333333333333336
62,40.0
63,35.833333333333336
64,75.0
65,35.0
66,65.83333333333333
67,68.33333333333333
68,19.166666666666668
69,25.833333333333332
70,27.5
71,13.333333333333334
72,48.333333333333336
73,30.0
74,50.833333333333336
75,34.166666666666664
76,19.166666666666668
77,43.333333333333336
78,40.833333333333336
79,36.666666666666664
80,42.5
81,50.833333333333336
82,22.5
83,40.0
84,24.166666666666668
85,25.0
86,27.5
87,49.166666666666664
88,21.666666666666668
89,26.666666666666668
90,19.166666666666668
91,40.833333333333336
92,40.0
93,16.666666666666668
94,29.166666666666668
95,25.0
96,18.333333333333332
97,27.5
98,34.166666666666664
99,42.5
100,9.166666666666666
101,32.5
102,50.833333333333336
103,27.5
104,35.0
105,63.333333333333336
106,17.5
107,21.666666666666668
108,72.5
109,80.83333333333333
110,66.66666666666667
111,48.333333333333336
112,28.333333333333332
113,62.5
114,73.33333333333333
115,40.833333333333336
116,59.166666666666664
117,53.333333333333336
118,50.833333333333336
119,27.5
120,39.166666666666664
121,23.333333333333332
122,64.16666666666667
123,37.5
124,27.5
125,36.666666666666664
126,25.0
127,45.833333333333336
