,p1_mean_hp_start
0,115.83333333333333
1,123.33333333333333
2,124.16666666666667
3,121.66666666666667
4,114.16666666666667
5,103.33333333333333
6,74.16666666666667
7,89.16666666666667
8,74.16666666666667
9,120.83333333333333
10,100.83333333333333
11,120.83333333333333
12,120.83333333333333
13,115.83333333333333
14,121.66666666666667
15,115.83333333333333
16,108.33333333333333
17,102.5
18,124.16666666666667
19,124.16666666666667
20,122.5
21,97.5
22,115.83333333333333
23,117.5
24,133.33333333333334
25,107.5
26,121.66666666666667
27,114.16666666666667
28,117.5
29,121.66666666666667
30,120.83333333333333
31,129.16666666666666
32,115.83333333333333
33,75.83333333333333
34,115.83333333333333
35,118.33333333333333
36,110.0
37,120.83333333333333
38,124.16666666666667
39,129.16666666666666
40,121.66666666666667
41,116.66666666666667
42,126.83333333333333
43,115.83333333333333
44,108.33333333333333
45,117.5
46,110.0
47,120.0
48,97.5
49,127.5
50,124.16666666666667
51,117.5
52,109.16666666666667
53,116.83333333333333
54,114.16666666666667
55,114.16666666666667
56,123.33333333333333
57,120.83333333333333
58,123.33333333333333
59,120.83333333333333
60,72.5
61,115.83333333333333
62,115.83333333333333
63,117.5
64,116.66666666666667
65,125.0
66,95.83333333333333
67,118.33333333333333
68,115.83333333333333
69,115.0
70,87.16666666666667
71,99.16666666666667
72,101.66666666666667
73,116.66666666666667
74,120.0
75,102.5
76,104.16666666666667
77,132.5
78,77.5
79,119.16666666666667
80,116.66666666666667
81,127.5
82,125.0
83,110.83333333333333
84,115.0
85,109.33333333333333
86,118.33333333333333
87,127.5
88,117.5
89,115.83333333333333
90,115.83333333333333
91,115.83333333333333
92,107.5
93,109.16666666666667
94,115.0
95,123.33333333333333
96,125.83333333333333
97,118.33333333333333
98,116.66666666666667
99,123.33333333333333
100,117.5
101,75.83333333333333
102,112.5
103,75.83333333333333
104,122.5
105,119.16666666666667
106,119.16666666666667
107,120.83333333333333
108,96.66666666666667
109,74.16666666666667
110,126.66666666666667
111,120.0
112,115.83333333333333
113,116.66666666666667
114,90.0
115,117.5
116,116.66666666666667
117,115.83333333333333
118,120.0
119,109.16666666666667
120,123.33333333333333
121,102.5
122,121.66666666666667
123,115.83333333333333
124,114.16666666666667
125,111.66666666666667
126,114.16666666666667
127,117.5
128,122.5
129,64.16666666666667
130,103.33333333333333
131,125.0
132,116.66666666666667
133,121.66666666666667
134,93.33333333333333
135,115.0
136,121.66666666666667
137,84.16666666666667
138,116.66666666666667
139,121.66666666666667
140,120.83333333333333
141,121.66666666666667
142,112.5
143,116.83333333333333
144,117.5
145,123.33333333333333
146,93.33333333333333
147,114.16666666666667
148,124.16666666666667
149,97.5
150,115.83333333333333
151,124.16666666666667
152,115.83333333333333
153,118.33333333333333
154,123.33333333333333
155,122.5
156,98.33333333333333
157,106.66666666666667
158,115.83333333333333
159,120.83333333333333
160,115.0
161,115.83333333333333
162,124.16666666666667
163,120.83333333333333
164,121.66666666666667
165,121.66666666666667
166,120.83333333333333
167,120.83333333333333
168,117.5
169,120.0
170,120.83333333333333
171,100.83333333333333
172,96.66666666666667
173,73.33333333333333
174,110.0
175,108.33333333333333
176,110.83333333333333
177,115.0
178,124.16666666666667
179,124.16666666666667
180,103.33333333333333
181,125.83333333333333
182,127.5
183,75.83333333333333
184,124.16666666666667
185,110.0
186,129.16666666666666
187,116.66666666666667
188,116.66666666666667
189,119.16666666666667
190,115.83333333333333
191,121.66666666666667
192,87.5
193,108.33333333333333
194,123.33333333333333
195,115.83333333333333
196,121.66666666666667
197,75.83333333333333
198,85.16666666666667
199,129.16666666666666
200,118.83333333333333
201,116.66666666666667
202,118.33333333333333
203,96.66666666666667
204,93.33333333333333
205,128.33333333333334
206,114.16666666666667
207,78.33333333333333
208,118.33333333333333
209,128.33333333333334
210,109.16666666666667
211,124.16666666666667
212,117.5
213,115.83333333333333
214,90.0
215,118.33333333333333
216,98.33333333333333
217,64.16666666666667
218,127.5
219,122.5
220,127.66666666666667
221,124.16666666666667
222,116.66666666666667
223,122.5
224,106.66666666666667
225,117.5
226,74.16666666666667
227,117.5
228,105.0
229,68.33333333333333
230,125.0
231,115.0
232,121.66666666666667
233,120.83333333333333
234,120.83333333333333
235,128.33333333333334
236,116.66666666666667
237,117.5
238,119.16666666666667
239,112.5
240,120.83333333333333
241,116.66666666666667
242,109.16666666666667
243,120.83333333333333
244,121.66666666666667
245,115.0
246,119.16666666666667
247,127.66666666666667
248,74.16666666666667
249,116.66666666666667
250,115.83333333333333
251,115.83333333333333
252,118.33333333333333
253,115.0
254,125.83333333333333
255,95.83333333333333
256,121.66666666666667
257,95.0
258,117.5
259,85.83333333333333
260,100.83333333333333
261,117.5
262,112.5
263,111.66666666666667
264,66.66666666666667
265,122.5
266,128.33333333333334
267,89.16666666666667
268,116.66666666666667
269,122.5
270,122.5
271,123.33333333333333
272,100.0
273,120.0
274,90.83333333333333
275,117.5
276,120.83333333333333
277,117.5
278,116.66666666666667
279,77.5
280,125.0
281,93.33333333333333
282,118.33333333333333
283,115.83333333333333
284,120.0
285,119.16666666666667
286,90.0
287,77.5
288,110.83333333333333
289,116.66666666666667
290,114.16666666666667
291,106.33333333333333
292,120.0
293,102.5
294,85.83333333333333
295,121.66666666666667
296,117.5
297,103.33333333333333
298,114.16666666666667
299,118.33333333333333
300,121.66666666666667
301,115.83333333333333
302,128.33333333333334
303,122.5
304,100.0
305,76.66666666666667
306,105.0
307,93.33333333333333
308,115.0
309,120.83333333333333
310,120.83333333333333
311,115.83333333333333
312,117.5
313,115.0
314,93.5
315,117.5
316,75.83333333333333
317,115.83333333333333
318,107.5
319,112.5
320,115.83333333333333
321,88.33333333333333
322,124.16666666666667
323,108.33333333333333
324,121.66666666666667
325,109.16666666666667
326,72.5
327,121.66666666666667
328,121.66666666666667
329,90.83333333333333
330,124.16666666666667
331,122.5
332,125.0
333,80.0
334,115.83333333333333
335,123.33333333333333
336,122.5
337,124.16666666666667
338,127.5
339,127.5
340,99.16666666666667
341,115.83333333333333
342,120.0
343,116.66666666666667
344,68.33333333333333
345,122.5
346,126.66666666666667
347,102.5
348,120.0
349,122.5
350,114.16666666666667
351,119.16666666666667
352,121.66666666666667
353,104.16666666666667
354,113.33333333333333
355,90.83333333333333
356,124.16666666666667
357,74.16666666666667
358,120.83333333333333
359,117.5
360,124.16666666666667
361,115.83333333333333
362,128.33333333333334
363,129.16666666666666
364,75.83333333333333
365,115.83333333333333
366,115.0
367,121.66666666666667
368,122.5
369,127.66666666666667
370,118.33333333333333
371,119.16666666666667
372,117.5
373,105.0
374,89.16666666666667
375,118.33333333333333
376,108.33333333333333
377,95.0
378,117.5
379,116.66666666666667
380,122.5
381,97.66666666666667
382,120.0
383,115.83333333333333
384,89.33333333333333
385,124.16666666666667
386,124.33333333333333
387,120.0
388,122.5
389,115.0
390,120.83333333333333
391,114.16666666666667
392,117.5
393,115.83333333333333
394,127.5
395,99.33333333333333
396,117.5
397,116.66666666666667
398,128.33333333333334
399,101.66666666666667
400,115.83333333333333
401,115.83333333333333
402,120.0
403,88.33333333333333
404,123.33333333333333
405,95.0
