,p1_moved_first_count
0,6
1,3
2,4
3,0
4,15
5,8
6,12
7,2
8,8
9,8
10,8
11,8
12,7
13,9
14,13
15,6
16,10
17,17
18,10
19,9
20,11
21,13
22,11
23,3
24,6
25,7
26,4
27,21
28,9
29,11
30,13
31,9
32,14
33,12
34,5
35,11
36,10
37,3
38,12
39,10
40,12
41,11
42,17
43,9
44,11
45,8
46,6
47,7
48,15
49,7
50,8
51,8
52,16
53,5
54,18
55,5
56,6
57,5
58,3
59,1
60,10
61,11
62,10
63,14
64,1
65,12
66,15
67,12
68,6
69,20
70,4
71,4
72,4
73,7
74,13
75,18
76,9
77,10
78,13
79,5
80,15
81,8
82,4
83,10
84,9
85,5
86,6
87,7
88,12
89,5
90,6
91,5
92,15
93,11
94,11
95,20
96,5
97,12
98,9
99,15
100,2
101,14
102,6
103,8
104,12
105,13
106,11
107,14
108,6
109,7
110,7
111,8
112,12
113,7
114,8
115,6
116,6
117,13
118,15
119,8
120,4
121,13
122,12
123,8
124,8
125,18
126,12
127,9
128,10
129,14
130,7
131,1
132,6
133,20
134,11
135,12
136,8
137,1
138,9
139,12
140,14
141,8
142,5
143,3
144,13
145,6
146,7
147,8
148,6
149,3
150,8
151,9
152,9
153,18
154,10
155,11
156,7
157,14
158,11
159,15
160,11
161,0
162,6
163,5
164,15
165,4
166,9
167,16
168,5
169,8
170,14
171,7
172,10
173,12
174,9
175,3
176,11
177,8
178,14
179,4
180,3
181,12
182,9
183,18
184,2
185,13
186,9
187,1
188,9
189,3
190,13
191,10
192,11
193,24
194,8
195,15
196,11
197,0
198,0
199,13
200,8
201,4
202,12
203,12
204,20
205,5
206,13
207,4
208,11
209,12
210,3
211,13
212,9
213,6
214,7
215,11
216,5
217,11
218,0
219,2
220,8
221,15
222,9
223,5
224,11
225,3
226,18
227,13
228,8
229,17
230,2
231,11
232,4
233,6
234,11
235,3
236,13
237,12
238,7
239,8
240,8
241,3
242,1
243,14
244,3
245,8
246,11
247,8
248,12
249,10
250,9
251,17
252,4
253,0
254,11
