,p1_paralized_pkmn
0,1
1,0
2,0
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,0
11,1
12,2
13,1
14,0
15,0
16,3
17,0
18,1
19,0
20,1
21,2
22,0
23,0
24,0
25,2
26,2
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,2
39,2
40,0
41,1
42,1
43,1
44,0
45,1
46,2
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,3
57,1
58,0
59,1
60,1
61,2
62,2
63,0
64,2
65,0
66,2
67,1
68,1
69,1
70,1
71,0
72,1
73,2
74,0
75,0
76,0
77,0
78,0
79,1
80,1
81,2
82,1
83,0
84,2
85,1
86,0
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,2
109,2
110,0
111,1
112,1
113,1
114,3
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,2
123,1
124,0
125,0
126,2
127,0
128,4
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,1
142,1
143,0
144,0
145,2
146,3
147,0
148,1
149,1
150,0
151,1
152,0
153,0
154,2
155,0
156,1
157,0
158,1
159,1
160,0
161,3
162,1
163,1
164,1
165,1
166,1
167,0
168,1
169,0
170,0
171,1
172,1
173,0
174,0
175,1
176,1
177,0
178,0
179,1
180,2
181,0
182,0
183,1
184,0
185,0
186,1
187,1
188,0
189,1
190,1
191,2
192,0
193,0
194,1
195,0
196,1
197,2
198,0
199,0
200,1
201,1
202,2
203,1
204,0
205,0
206,1
207,0
208,0
209,0
210,2
211,0
212,0
213,1
214,1
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,0
223,2
224,0
225,2
226,3
227,1
228,0
229,0
230,1
231,0
232,1
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,2
241,1
242,0
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,0
257,1
258,2
259,1
260,2
261,1
262,1
263,1
264,0
265,1
266,0
267,1
268,1
269,0
270,0
271,0
272,2
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,0
281,1
282,2
283,0
284,1
285,1
286,1
287,0
288,0
289,1
290,0
291,1
292,0
293,0
294,0
295,0
296,3
297,0
298,0
299,0
300,1
301,0
302,1
303,2
304,0
305,0
306,0
307,0
308,0
309,0
310,1
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,1
319,0
320,1
321,0
322,1
323,1
324,2
325,0
326,1
327,0
328,1
329,0
330,0
331,3
332,0
333,1
334,0
335,1
336,1
337,1
338,0
339,2
340,0
341,0
342,0
343,2
344,0
345,0
346,1
347,0
348,1
349,1
350,1
351,0
352,2
353,0
354,1
355,0
356,2
357,0
358,0
359,0
360,1
361,0
362,1
363,0
364,1
365,1
366,1
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,1
375,1
376,1
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,1
385,0
386,1
387,1
388,0
389,2
390,1
391,0
392,0
393,2
394,1
395,1
396,1
397,1
398,2
399,0
400,1
401,1
402,0
403,1
404,0
405,1
406,1
407,0
408,1
409,0
410,0
411,1
412,1
413,2
414,0
415,1
416,1
417,1
418,0
419,0
420,1
421,0
422,1
423,1
424,0
425,2
426,2
427,0
428,1
429,0
430,1
431,0
432,1
433,0
434,2
435,1
436,1
437,0
438,0
439,1
440,1
441,0
442,1
443,1
444,0
445,1
446,1
447,1
448,3
449,1
450,1
451,1
452,0
453,1
454,1
455,0
456,0
457,1
458,0
459,1
460,1
461,0
462,2
463,1
464,1
465,0
466,1
467,1
468,1
469,0
470,2
471,1
472,0
473,0
474,2
475,1
476,0
477,1
478,2
479,2
480,1
481,0
482,0
483,0
484,0
485,1
486,2
487,1
488,1
489,2
490,1
491,1
492,1
493,2
494,0
495,0
496,0
497,3
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,0
512,0
513,3
514,1
515,2
516,1
517,2
518,0
519,0
520,0
521,1
522,2
523,0
524,0
525,0
526,2
527,1
528,2
529,2
530,1
531,1
532,1
533,1
534,0
535,1
536,1
537,1
538,1
539,0
540,0
541,1
542,0
543,0
544,0
545,2
546,0
547,2
548,1
549,2
550,0
551,1
552,2
553,0
554,3
555,0
556,0
557,1
558,1
559,1
560,1
561,2
562,0
563,1
564,0
565,1
566,1
567,1
568,0
569,0
570,1
571,0
572,0
573,1
574,0
575,1
576,0
577,1
578,1
579,2
580,0
581,1
582,1
583,0
584,1
585,2
586,1
587,3
588,1
589,1
590,1
591,0
592,0
593,0
594,1
595,1
596,0
597,1
598,0
599,0
600,0
601,1
602,1
603,2
604,0
605,0
606,0
607,1
608,1
609,0
610,1
611,0
612,1
613,0
614,2
615,0
616,0
617,1
618,0
619,1
620,1
621,0
622,1
623,0
624,0
625,0
626,3
627,2
628,0
629,2
630,0
631,0
632,0
633,0
634,1
635,2
636,0
637,2
638,1
639,0
640,1
641,0
642,1
643,0
644,1
645,1
646,1
647,0
648,1
649,1
650,2
651,0
652,1
653,0
654,0
655,2
656,1
657,1
658,1
659,0
660,1
661,2
662,1
663,0
664,0
665,3
666,0
667,2
668,1
669,0
670,1
671,0
672,0
673,0
674,1
675,0
676,1
677,0
678,0
679,1
680,0
681,0
682,0
683,0
684,1
685,1
686,1
687,0
688,1
689,1
690,1
691,0
692,0
693,0
694,1
695,2
696,0
697,1
698,0
699,0
700,0
701,1
702,1
703,0
704,1
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,2
713,3
714,1
715,1
716,0
717,1
718,0
719,1
720,0
721,0
722,2
723,0
724,0
725,0
726,0
727,1
728,1
729,0
730,0
731,1
732,1
733,2
734,0
735,1
736,0
737,1
738,2
739,0
740,0
741,1
742,3
743,1
744,0
745,1
746,1
747,2
748,3
749,0
750,1
751,1
752,1
753,0
754,0
755,1
756,0
757,2
758,0
759,1
760,0
761,0
762,1
763,0
764,1
765,0
766,1
767,0
768,0
769,0
770,1
771,0
772,1
773,1
774,1
775,1
776,2
777,0
778,0
779,0
780,0
781,1
782,1
783,0
784,1
785,0
786,0
787,2
788,1
789,1
790,0
791,2
792,2
793,1
794,1
795,0
796,0
797,4
798,1
799,0
800,0
801,1
802,0
803,0
804,1
805,0
806,1
807,1
808,0
809,1
810,1
811,2
812,2
813,0
814,0
815,1
816,0
817,1
818,1
819,1
820,1
821,2
822,1
823,1
824,1
825,0
826,1
827,0
828,2
829,1
830,0
831,0
832,1
833,1
834,0
835,1
836,0
837,0
838,1
839,1
840,1
841,2
842,1
843,0
844,1
845,0
846,1
847,0
848,1
849,0
850,0
851,2
852,1
853,0
854,0
855,1
856,0
857,0
858,2
859,0
860,1
861,0
862,2
863,0
864,1
865,1
866,1
867,0
868,1
869,0
870,0
871,0
872,0
873,0
874,2
875,0
876,1
877,0
878,1
879,1
880,0
881,0
882,0
883,2
884,1
885,0
886,0
887,0
888,1
889,1
890,1
891,2
892,0
893,1
894,2
895,1
896,0
897,1
898,0
899,2
900,1
901,1
902,1
903,0
904,1
905,3
906,1
907,0
908,0
909,0
910,0
911,1
912,2
913,1
914,1
915,2
916,1
917,0
918,1
919,1
920,0
921,1
922,1
923,0
924,1
925,0
926,0
927,1
928,1
929,0
930,0
931,0
932,0
933,0
934,1
935,0
936,0
937,1
938,2
939,0
940,1
941,0
942,2
943,0
944,1
945,2
946,0
947,0
948,0
949,0
950,1
951,0
952,0
953,2
954,1
955,0
956,1
957,0
958,0
959,1
960,1
961,1
962,0
963,1
964,0
965,0
966,0
967,1
968,0
969,0
970,0
971,0
972,0
973,1
974,0
975,2
976,0
977,1
978,0
979,0
980,0
981,1
982,1
983,1
984,2
985,0
986,1
987,2
988,1
989,0
990,2
991,0
992,2
993,0
994,0
995,0
996,1
997,1
998,0
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,1
1010,1
1011,1
1012,1
1013,2
1014,0
1015,1
1016,2
1017,0
1018,0
1019,0
1020,1
1021,1
1022,1
1023,1
1024,0
1025,0
1026,2
1027,1
1028,1
1029,0
1030,0
1031,1
1032,2
1033,1
1034,0
1035,0
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0
1042,1
1043,0
1044,1
1045,0
1046,1
1047,1
1048,1
1049,1
1050,2
1051,0
1052,1
1053,2
1054,0
1055,1
1056,1
1057,0
1058,1
1059,1
1060,2
1061,0
1062,0
1063,1
1064,2
1065,0
1066,1
1067,1
1068,2
1069,1
1070,1
1071,0
1072,0
1073,2
1074,0
1075,1
1076,0
1077,1
1078,1
1079,1
1080,0
1081,0
1082,0
1083,1
1084,1
1085,2
1086,0
1087,1
1088,1
1089,0
1090,1
1091,2
1092,0
1093,1
1094,0
1095,0
1096,0
1097,1
1098,2
1099,0
1100,2
1101,1
1102,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,1
1109,0
1110,0
1111,0
1112,0
1113,2
1114,0
1115,1
1116,1
1117,0
1118,0
1119,0
1120,1
1121,0
1122,2
1123,0
1124,1
1125,0
1126,0
1127,0
1128,0
1129,0
1130,1
1131,1
1132,0
1133,0
1134,1
1135,0
1136,1
1137,0
1138,2
1139,0
1140,0
1141,1
1142,0
1143,1
1144,0
1145,2
1146,2
1147,0
1148,1
1149,3
1150,0
1151,1
1152,0
1153,0
1154,0
1155,1
1156,1
1157,2
1158,2
1159,1
1160,1
1161,0
1162,0
1163,0
1164,0
1165,2
1166,2
1167,1
1168,1
1169,0
1170,0
1171,2
1172,1
1173,0
1174,0
1175,0
1176,2
1177,1
1178,1
1179,1
1180,0
1181,0
1182,2
1183,0
1184,2
1185,2
1186,0
1187,1
1188,1
1189,2
1190,0
1191,0
1192,0
1193,1
1194,2
1195,0
1196,0
1197,2
1198,1
1199,0
1200,1
1201,2
1202,0
1203,0
1204,1
1205,1
1206,1
1207,1
1208,0
1209,1
1210,0
1211,0
1212,1
1213,0
1214,0
1215,1
1216,1
1217,1
1218,0
1219,0
1220,1
1221,2
1222,1
1223,1
1224,0
1225,1
1226,1
1227,0
1228,0
