,p1_sum_hp_last
0,600.0
1,420.0
2,650.0
3,325.0
4,525.0
5,620.0
6,220.0
7,380.0
8,135.0
9,575.0
10,345.0
11,405.0
12,315.0
13,545.0
14,420.0
15,695.0
16,650.0
17,475.0
18,745.0
19,505.0
20,485.0
21,510.0
22,385.0
23,610.0
24,75.0
25,580.0
26,625.0
27,525.0
28,525.0
29,165.0
30,500.0
31,710.0
32,325.0
33,455.0
34,130.0
35,590.0
36,660.0
37,575.0
38,745.0
39,710.0
40,475.0
41,540.0
42,656.0
43,535.0
44,590.0
45,705.0
46,375.0
47,465.0
48,585.0
49,485.0
50,490.0
51,545.0
52,605.0
53,476.0
54,685.0
55,685.0
56,740.0
57,725.0
58,345.0
59,475.0
60,340.0
61,445.0
62,600.0
63,485.0
64,700.0
65,580.0
66,575.0
67,710.0
68,640.0
69,530.0
70,268.0
71,440.0
72,385.0
73,545.0
74,645.0
75,500.0
76,390.0
77,795.0
78,235.0
79,305.0
80,605.0
81,765.0
82,340.0
83,570.0
84,690.0
85,485.0
86,160.0
87,710.0
88,375.0
89,350.0
90,485.0
91,535.0
92,645.0
93,75.0
94,185.0
95,740.0
96,80.0
97,615.0
98,310.0
99,490.0
100,610.0
101,220.0
102,515.0
103,140.0
104,670.0
105,390.0
106,380.0
107,165.0
108,580.0
109,445.0
110,510.0
111,465.0
112,385.0
113,700.0
114,540.0
115,485.0
116,700.0
117,285.0
118,560.0
119,530.0
120,430.0
121,145.0
122,730.0
123,460.0
124,525.0
125,260.0
126,525.0
127,395.0
128,575.0
129,180.0
130,545.0
131,140.0
132,380.0
133,485.0
134,495.0
135,440.0
136,730.0
137,210.0
138,540.0
139,730.0
140,380.0
141,510.0
142,290.0
143,541.0
144,450.0
145,580.0
146,320.0
147,130.0
148,745.0
149,330.0
150,535.0
151,495.0
152,445.0
153,650.0
154,665.0
155,395.0
156,590.0
157,415.0
158,635.0
159,420.0
160,450.0
161,695.0
162,650.0
163,365.0
164,420.0
165,475.0
166,565.0
167,630.0
168,545.0
169,405.0
170,95.0
171,465.0
172,515.0
173,180.0
174,530.0
175,490.0
176,610.0
177,465.0
178,590.0
179,515.0
180,515.0
181,540.0
182,545.0
183,455.0
184,745.0
185,410.0
186,680.0
187,445.0
188,65.0
189,715.0
190,640.0
191,435.0
192,235.0
193,485.0
194,425.0
195,385.0
196,635.0
197,455.0
198,511.0
199,365.0
200,305.0
201,560.0
202,550.0
203,390.0
204,405.0
205,235.0
