,p1_sum_spd_last
0,475.0
1,255.0
2,415.0
3,260.0
4,520.0
5,600.0
6,330.0
7,395.0
8,190.0
9,365.0
10,230.0
11,315.0
12,455.0
13,340.0
14,385.0
15,545.0
16,560.0
17,430.0
18,510.0
19,295.0
20,480.0
21,505.0
22,275.0
23,435.0
24,70.0
25,475.0
26,540.0
27,520.0
28,405.0
29,195.0
30,295.0
31,460.0
32,175.0
33,615.0
34,205.0
35,285.0
36,630.0
37,365.0
38,510.0
39,460.0
40,400.0
41,545.0
42,495.0
43,535.0
44,460.0
45,560.0
46,300.0
47,330.0
48,620.0
49,240.0
50,320.0
51,510.0
52,470.0
53,395.0
54,655.0
55,625.0
56,610.0
57,625.0
58,185.0
59,430.0
60,505.0
61,495.0
62,530.0
63,240.0
64,595.0
65,365.0
66,620.0
67,515.0
68,465.0
69,425.0
70,420.0
71,410.0
72,285.0
73,340.0
74,505.0
75,355.0
76,290.0
77,565.0
78,250.0
79,440.0
80,470.0
81,520.0
82,455.0
83,505.0
84,570.0
85,395.0
86,190.0
87,460.0
88,300.0
89,370.0
90,240.0
91,535.0
92,575.0
93,70.0
94,255.0
95,545.0
96,55.0
97,530.0
98,325.0
99,435.0
100,435.0
101,310.0
102,485.0
103,180.0
104,490.0
105,345.0
106,310.0
107,145.0
108,510.0
109,595.0
110,490.0
111,330.0
112,305.0
113,595.0
114,615.0
115,395.0
116,595.0
117,430.0
118,460.0
119,400.0
120,220.0
121,260.0
122,580.0
123,465.0
124,515.0
125,445.0
126,520.0
127,370.0
128,500.0
129,290.0
130,515.0
131,180.0
132,310.0
133,240.0
134,405.0
135,445.0
136,485.0
137,370.0
138,530.0
139,580.0
140,395.0
141,320.0
142,285.0
143,490.0
144,370.0
145,365.0
146,420.0
147,205.0
148,510.0
149,340.0
150,495.0
151,405.0
152,495.0
153,555.0
154,475.0
155,355.0
156,630.0
157,250.0
158,500.0
159,385.0
160,370.0
161,530.0
162,385.0
163,340.0
164,300.0
165,430.0
166,560.0
167,500.0
168,495.0
169,415.0
170,125.0
171,335.0
172,415.0
173,345.0
174,425.0
175,320.0
176,435.0
177,335.0
178,285.0
179,215.0
180,490.0
181,400.0
182,355.0
183,615.0
184,510.0
185,415.0
186,430.0
187,405.0
188,65.0
189,495.0
190,465.0
191,355.0
192,335.0
193,240.0
194,340.0
195,305.0
196,455.0
197,580.0
198,555.0
199,400.0
200,240.0
