,p1_sum_stats_last
0,2610.0
1,1510.0
2,2575.0
3,1630.0
4,2725.0
5,3175.0
6,1670.0
7,2170.0
8,1015.0
9,2150.0
10,1100.0
11,1545.0
12,2250.0
13,2070.0
14,2210.0
15,3075.0
16,3175.0
17,2210.0
18,3135.0
19,1595.0
20,2645.0
21,2610.0
22,1575.0
23,2505.0
24,520.0
25,2525.0
26,2675.0
27,2725.0
28,2090.0
29,1135.0
30,1630.0
31,2660.0
32,1040.0
33,3220.0
34,1060.0
35,2020.0
36,3285.0
37,2145.0
38,3135.0
39,2660.0
40,2190.0
41,2700.0
42,2730.0
43,2695.0
44,2640.0
45,3085.0
46,1490.0
47,2050.0
48,3260.0
49,1535.0
50,2060.0
51,2695.0
52,2510.0
53,2135.0
54,3125.0
55,3105.0
56,3245.0
57,3270.0
58,990.0
59,2205.0
60,2690.0
61,2670.0
62,2740.0
63,1535.0
64,3205.0
65,2115.0
66,3235.0
67,3110.0
68,2650.0
69,2485.0
70,2125.0
71,2115.0
72,1620.0
73,2070.0
74,2775.0
75,2095.0
76,1550.0
77,3045.0
78,1460.0
79,2125.0
80,2625.0
81,3085.0
82,2200.0
83,2660.0
84,3175.0
85,2055.0
86,1020.0
87,2660.0
88,1490.0
89,2090.0
90,1535.0
91,2695.0
92,3195.0
93,520.0
94,1620.0
95,3140.0
96,475.0
97,2705.0
98,1615.0
99,2500.0
100,2505.0
101,1580.0
102,2520.0
103,1060.0
104,2730.0
105,2115.0
106,1580.0
107,1020.0
108,3050.0
109,3290.0
110,2730.0
111,2050.0
112,1595.0
113,3205.0
114,3300.0
115,2055.0
116,3205.0
117,2175.0
118,2685.0
119,1990.0
120,1525.0
121,1155.0
122,3125.0
123,2175.0
124,2775.0
125,2220.0
126,2725.0
127,2135.0
128,2560.0
129,1625.0
130,2550.0
131,1060.0
132,1580.0
133,1535.0
134,2615.0
135,2695.0
136,3075.0
137,1695.0
138,2595.0
139,3125.0
140,2170.0
141,2045.0
142,1555.0
143,2570.0
144,2010.0
145,2115.0
146,2250.0
147,1060.0
148,3135.0
149,2155.0
150,2725.0
151,2615.0
152,2670.0
153,2750.0
154,2620.0
155,2030.0
156,3265.0
157,1540.0
158,2655.0
159,2210.0
160,2010.0
161,3105.0
162,2555.0
163,1595.0
164,1620.0
165,2210.0
166,2770.0
167,2690.0
168,2590.0
169,2225.0
170,580.0
171,2105.0
172,2615.0
173,1615.0
174,2485.0
175,2060.0
176,2505.0
177,2105.0
178,2020.0
179,1500.0
180,2680.0
181,2200.0
182,2055.0
183,3220.0
184,3135.0
185,2550.0
186,2515.0
187,2015.0
188,440.0
189,3095.0
190,2650.0
191,1715.0
192,1760.0
193,1535.0
194,2065.0
195,1595.0
196,2545.0
197,3080.0
198,3240.0
199,2185.0
200,1060.0
201,2135.0
202,2790.0
203,2150.0
204,2225.0
205,1015.0
206,2680.0
207,2250.0
208,2440.0
209,2180.0
210,3190.0
211,2585.0
212,2130.0
213,2115.0
214,1670.0
215,3285.0
216,2695.0
217,1000.0
218,2705.0
219,1715.0
220,1585.0
221,2640.0
222,1535.0
223,2055.0
224,2640.0
225,2010.0
226,2725.0
227,1015.0
228,1610.0
229,2685.0
230,1960.0
231,2565.0
232,3265.0
233,1655.0
234,2170.0
235,2175.0
236,3205.0
237,2670.0
238,2555.0
239,2660.0
240,2150.0
241,2510.0
242,2695.0
243,2190.0
244,2630.0
245,2025.0
246,2495.0
247,2160.0
248,2205.0
249,1495.0
250,3190.0
251,2695.0
252,3090.0
253,2715.0
254,2555.0
255,1600.0
256,2165.0
257,3200.0
258,2070.0
259,2010.0
260,3155.0
261,2610.0
262,2125.0
263,2735.0
264,2610.0
265,2550.0
266,2115.0
267,2250.0
268,2580.0
269,520.0
270,1570.0
271,1040.0
272,2820.0
273,3125.0
274,3180.0
275,2650.0
276,1595.0
277,3085.0
278,1570.0
279,1525.0
280,1095.0
281,1655.0
282,2990.0
283,2130.0
284,2065.0
285,3155.0
286,1610.0
287,2090.0
288,2525.0
289,3120.0
290,2730.0
291,2685.0
292,1610.0
293,2195.0
294,1040.0
295,1575.0
296,2655.0
297,2255.0
298,3220.0
299,2605.0
300,2150.0
301,3225.0
302,1015.0
303,3055.0
304,2115.0
305,2705.0
306,2665.0
307,1975.0
308,3215.0
309,2635.0
310,2775.0
311,2655.0
312,2040.0
313,2220.0
314,1085.0
315,2610.0
316,1520.0
317,2115.0
318,2695.0
319,2140.0
320,2175.0
321,2165.0
322,2120.0
323,3175.0
324,2135.0
325,1095.0
326,1670.0
327,2130.0
328,2605.0
329,1450.0
330,2120.0
331,3165.0
332,1500.0
333,1490.0
334,1580.0
335,1500.0
336,1570.0
337,2080.0
338,1620.0
339,2080.0
340,1510.0
341,2650.0
342,2685.0
343,2595.0
344,3080.0
345,2730.0
346,3230.0
347,1595.0
348,2155.0
349,3165.0
350,2655.0
351,3185.0
352,2145.0
353,2485.0
354,2115.0
355,2160.0
356,2615.0
357,1625.0
358,2080.0
359,3085.0
360,2170.0
361,2170.0
362,2660.0
363,1970.0
364,1060.0
365,3190.0
366,2595.0
367,2190.0
368,2150.0
369,1570.0
370,1395.0
371,1550.0
372,2650.0
373,1610.0
374,2790.0
375,1550.0
376,2090.0
377,2740.0
378,1595.0
379,1580.0
380,1620.0
381,1640.0
382,3170.0
383,2695.0
384,2750.0
385,1635.0
386,3155.0
387,2070.0
388,2555.0
389,2160.0
390,2255.0
391,2160.0
392,2650.0
393,3190.0
394,2660.0
395,2515.0
396,2070.0
397,1670.0
398,2615.0
399,1575.0
400,1575.0
401,2160.0
402,2590.0
403,1690.0
404,1120.0
405,2675.0
406,1640.0
407,2670.0
408,3210.0
409,2540.0
410,540.0
411,2200.0
412,3095.0
413,2150.0
414,1135.0
415,2125.0
416,2075.0
417,1495.0
418,2465.0
419,2675.0
420,2075.0
421,2165.0
422,3190.0
423,3125.0
424,3045.0
425,2785.0
426,3190.0
427,2055.0
428,2135.0
429,2165.0
430,1540.0
431,2195.0
432,3205.0
433,2020.0
434,3270.0
435,3170.0
436,960.0
437,960.0
438,2125.0
439,2130.0
440,2750.0
441,2635.0
442,1590.0
443,2695.0
444,2205.0
445,2775.0
446,2325.0
447,1690.0
448,2600.0
449,3060.0
450,2515.0
451,1535.0
452,2650.0
453,2240.0
454,1620.0
455,520.0
