,p1_atk_trend,p2_atk_trend,atk_trend_diff
0,-40.83333333333333,-0.8333333333333286,-40.0
1,-42.5,0.0,-42.5
2,-65.0,0.0,-65.0
3,-44.166666666666664,0.0,-44.166666666666664
4,-34.166666666666664,0.0,-34.166666666666664
5,0.0,0.0,0.0
6,-50.00000000000001,-19.166666666666657,-30.83333333333335
7,-46.66666666666667,0.0,-46.66666666666667
8,-80.83333333333334,-0.8333333333333286,-80.00000000000001
9,-24.166666666666664,0.0,-24.166666666666664
10,-67.5,-18.333333333333343,-49.16666666666666
11,-53.333333333333336,0.0,-53.333333333333336
12,-33.333333333333336,-18.33333333333333,-15.000000000000007
13,-24.166666666666664,-10.833333333333329,-13.333333333333336
14,-45.00000000000001,0.0,-45.00000000000001
15,-35.00000000000001,0.0,-35.00000000000001
16,-8.333333333333329,0.0,-8.333333333333329
17,-62.50000000000001,0.0,-62.50000000000001
18,-54.16666666666666,0.0,-54.16666666666666
19,-50.83333333333333,0.0,-50.83333333333333
20,-32.5,-15.833333333333336,-16.666666666666664
21,-27.5,0.0,-27.5
22,-71.66666666666667,0.0,-71.66666666666667
23,-45.83333333333333,0.0,-45.83333333333333
24,-64.16666666666666,0.0,-64.16666666666666
25,-40.0,0.0,-40.0
26,-32.49999999999999,0.0,-32.49999999999999
27,-50.83333333333333,0.0,-50.83333333333333
28,-46.66666666666666,0.0,-46.66666666666666
29,-47.5,-0.8333333333333286,-46.66666666666667
30,-55.83333333333333,0.0,-55.83333333333333
31,-25.000000000000007,0.0,-25.000000000000007
32,-53.33333333333333,-30.83333333333333,-22.5
33,0.0,0.0,0.0
34,-45.83333333333333,0.0,-45.83333333333333
35,-73.33333333333334,0.0,-73.33333333333334
36,-45.0,0.0,-45.0
37,-25.83333333333333,0.0,-25.83333333333333
38,0.0,0.0,0.0
39,-40.833333333333336,0.0,-40.833333333333336
40,-49.16666666666667,0.0,-49.16666666666667
41,-42.5,0.0,-42.5
42,-44.0,0.0,-44.0
43,-35.0,-0.8333333333333428,-34.16666666666666
44,-28.333333333333336,0.0,-28.333333333333336
45,-32.5,0.0,-32.5
46,-49.16666666666666,-18.333333333333336,-30.83333333333332
47,-50.83333333333333,0.0,-50.83333333333333
48,-32.5,0.0,-32.5
49,-55.0,0.0,-55.0
50,-68.33333333333333,0.0,-68.33333333333333
51,-29.166666666666664,0.0,-29.166666666666664
52,-40.83333333333333,-0.8333333333333286,-40.0
53,-49.0,0.0,-49.0
54,-24.166666666666664,0.0,-24.166666666666664
55,-8.333333333333336,0.0,-8.333333333333336
56,-15.833333333333329,0.0,-15.833333333333329
57,0.0,0.0,0.0
58,-71.66666666666667,-0.8333333333333286,-70.83333333333334
