,p2_final_team_hp
0,225.6785287846286
1,281.15
2,353.8
3,300.1
4,374.74999999999994
5,339.0
6,258.15
7,428.5
8,240.29999999999998
9,318.05561873884807
10,100.5
11,477.09999999999997
12,209.10000000000002
13,327.55
14,464.9
15,514.2907204444434
16,269.7
17,475.8
18,458.25
19,317.20000000000005
20,454.9
21,281.8
22,578.2941635480518
23,468.55
24,295.0
25,378.00000000000006
26,336.9751279047284
27,423.1
28,451.85
29,344.25
30,332.35
31,368.1145304601947
32,32.05
33,303.55
34,316.9293329291766
35,332.85
36,336.1
37,220.28724076870168
38,347.25
39,271.85
40,530.1767258588758
41,266.59999999999997
42,459.15
43,280.0486046037154
44,325.70092271388916
45,452.69999999999993
46,234.45
47,403.30690697507686
48,411.95000000000005
49,284.6
50,259.25
51,383.22
52,238.93111808705578
53,330.4
54,406.6
55,301.75
56,363.6281644895259
57,458.6
58,168.4
59,422.15
60,547.0999999999999
61,362.773794452072
62,392.3
63,221.6
64,402.69150357837634
65,340.58388361051567
66,290.05
67,453.2
68,415.9
69,316.70000000000005
70,444.65
71,470.80999999999995
72,261.65
73,517.8431846707389
74,472.8
75,369.96523284202834
76,512.6
77,594.5
78,282.35
79,421.6859242944586
80,384.62184986291544
81,303.2918835202301
82,359.45
83,310.25359087962016
84,444.37131388645025
85,276.05
86,502.797018138964
87,285.41568017798073
88,237.54703844283668
89,510.45
90,338.45
91,457.55
92,489.61994297403976
93,377.8605664982564
94,288.05
95,450.5608188323711
96,277.4935228189334
97,496.14417054075705
98,416.3626520004227
99,465.38789810300455
100,246.10000000000002
101,466.20000000000005
102,400.75
103,219.45
104,326.45
105,338.65000000000003
106,491.75
107,305.57115681208916
108,470.69999999999993
109,355.7
110,341.2
111,575.45
112,185.9
113,476.3348149914127
114,538.0500000000001
115,463.5
116,425.84999999999997
117,529.75
118,410.3
119,231.3
120,589.3370454309434
121,258.4
122,498.05
123,243.29999999999998
124,406.55
125,552.3419158104645
126,343.3
127,395.0155738143365
128,312.74999999999994
129,366.09999999999997
130,368.94442562819273
131,514.9
132,157.7
133,207.5
134,326.75
135,335.856860151664
136,537.8909045370174
137,337.3
138,406.49222887965834
139,592.4
140,566.2
141,458.8
142,328.6
143,239.3
144,278.08914184186494
145,172.95
146,256.5
147,271.2
148,425.95
149,196.89868936493008
150,415.95
151,524.3739983875081
152,273.9886331261077
153,415.2
154,243.75
155,283.35
156,350.6700752263899
157,484.4
158,361.1
159,272.25308933077065
160,416.7
161,509.2
162,423.29999999999995
163,109.95
164,318.56017267590516
165,382.25
166,415.04999999999995
167,330.8210698932705
168,400.45
169,225.52101793631735
170,240.1
171,327.1
172,544.25
173,139.75
174,226.40000000000003
175,526.2
176,431.2827905262673
177,383.4
178,220.45000000000002
179,314.54939069275514
180,539.5151712283775
181,230.85
182,387.4259989031494
183,471.84999999999997
184,269.65000000000003
185,166.96172942768084
186,330.45000000000005
187,395.0
188,373.14779919348854
189,419.75
190,535.8788288393675
191,173.05
192,369.79999999999995
193,368.90000000000003
194,238.8517348544101
195,496.8989911345672
196,296.3
197,447.4
198,619.1161549279207
199,560.6
200,463.0903428718485
201,414.12647154912236
202,180.65000000000003
203,283.8157253795541
204,304.25
205,298.20000000000005
206,266.65
207,335.15
208,442.29999999999995
209,548.9316105372928
210,592.8022055163748
211,395.74999999999994
212,437.72579140608445
213,414.5
214,180.0
215,595.5999999999999
216,378.59
217,211.9
218,390.8337600087041
219,351.95
220,359.7
221,321.1402486834003
222,343.95000000000005
223,271.25
224,513.8891907028736
225,233.93503148249363
226,391.84999999999997
227,389.7470102083975
228,341.54383298864786
229,496.65
230,457.2483918293887
231,378.9
232,540.2817314094772
233,187.85
234,344.3
235,471.50283861727456
236,495.9
237,474.55
238,553.4951514982474
239,418.84999999999997
240,408.5
241,364.55
242,550.75
243,443.95000000000005
244,516.9628232852249
245,431.8030819436632
246,435.11856960498676
247,420.4
248,255.05
249,437.55
250,306.0300480493477
251,355.85
252,480.45000000000005
253,695.35
254,213.1476025754792
255,244.75
256,220.89999999999998
257,578.35
258,232.95
259,390.5788070798055
260,450.75
261,317.65191392044267
262,240.15
263,292.8143321297259
264,388.55
265,168.210352102668
266,477.06
267,409.40000000000003
268,483.55
269,422.2784326665297
270,220.55
271,428.60856421485204
272,447.15
273,527.8374041261543
274,348.8
275,468.4901516188625
276,416.5
277,311.65
278,166.75626880528222
279,259.6
280,218.11204515310325
281,143.0
282,467.09550807943657
283,292.5
284,479.59999999999997
285,438.3658589727442
286,384.05
287,430.0
288,318.7442857876923
289,390.8041505040719
290,396.09999999999997
291,553.65
292,233.55
293,451.35
294,444.8
295,341.3
296,484.25
297,268.44371895364907
298,394.24999999999994
299,279.59999999999997
300,453.2
301,304.55
302,491.6061555603179
303,463.84999999999997
304,272.6357773663971
305,403.5117255547054
306,591.6
307,318.6
308,254.05999999999997
309,507.9252694890225
310,569.3881366338217
311,382.3
312,346.6703082767349
313,580.15
314,269.60319001582616
315,253.27877020330652
316,420.09999999999997
317,304.47341567505464
318,379.40000000000003
319,470.45
320,526.8255957885973
321,407.85
322,358.3
323,450.025520058052
324,398.9512931184194
325,303.9
326,325.55
327,433.88
328,579.5500000000001
329,372.15
330,461.0
331,570.0995821855842
332,381.40000000000003
333,240.05
334,240.44391404678794
335,508.20000000000005
336,217.45
337,498.25
338,318.0
339,425.82093801787283
340,258.20000000000005
341,416.25
342,184.45
343,491.65
344,379.86999999999995
345,456.19155883973525
346,391.99999999999994
347,346.29999999999995
348,435.9724519227957
349,558.2490544724291
350,368.25
351,395.48050930218767
352,535.65
353,509.25
354,299.55
355,183.45
356,463.2
357,83.9
358,537.7293411306516
359,439.4952228141979
360,246.64999999999998
361,312.95
362,411.7051783573507
363,359.05
364,174.6
365,331.7
366,225.35
367,176.39999999999998
368,606.1
369,516.8
370,130.8
371,188.74209342233328
372,187.85754216823779
373,197.01757121961109
374,426.55
375,359.79999999999995
376,511.7518195043382
377,570.15
378,214.95
379,237.46199892256797
380,300.11
381,353.90000000000003
382,267.9
383,596.215994708552
384,553.05
385,330.95
