,p2_mean_spa_last
0,79.91666666666667
1,100.0
2,104.91666666666667
3,91.58333333333333
4,93.29166666666667
5,103.29166666666667
6,56.666666666666664
7,92.41666666666667
8,75.0
9,96.66666666666667
10,90.0
11,99.125
12,75.0
13,76.625
14,112.41666666666667
15,103.25
16,104.95833333333333
17,105.79166666666667
18,100.0
19,87.5
20,88.29166666666667
21,91.625
22,98.29166666666667
23,99.125
24,90.83333333333333
25,90.79166666666667
26,98.33333333333333
27,85.75
28,80.0
29,81.66666666666667
30,99.125
31,103.29166666666667
32,39.166666666666664
33,83.33333333333333
34,95.83333333333333
35,97.5
36,85.0
37,109.125
38,99.16666666666667
39,99.16666666666667
40,96.66666666666667
41,90.83333333333333
42,89.125
43,75.0
44,103.29166666666667
45,104.16666666666667
46,87.5
47,85.83333333333333
48,97.41666666666667
49,98.33333333333333
50,99.16666666666667
51,103.25
52,89.16666666666667
53,95.79166666666667
54,99.16666666666667
55,93.29166666666667
56,85.83333333333333
57,85.0
58,67.5
59,94.125
60,100.79166666666667
61,83.29166666666667
62,85.0
63,99.16666666666667
64,103.29166666666667
65,95.83333333333333
66,86.66666666666667
67,95.79166666666667
68,87.45833333333333
69,88.25
70,109.95833333333333
71,98.29166666666667
72,98.33333333333333
73,73.25
74,87.5
75,94.125
76,95.83333333333333
77,99.16666666666667
78,95.83333333333333
79,100.0
80,85.83333333333333
81,91.625
82,93.29166666666667
83,97.45833333333333
84,97.41666666666667
85,104.95833333333333
86,102.5
87,88.25
88,59.166666666666664
89,89.125
90,92.45833333333333
91,90.83333333333333
92,106.625
93,99.16666666666667
94,75.0
95,92.45833333333333
96,64.16666666666667
97,99.125
98,104.16666666666667
99,86.58333333333333
100,79.16666666666667
101,85.0
102,93.29166666666667
103,80.0
104,98.29166666666667
105,83.33333333333333
106,104.125
107,80.0
108,85.79166666666667
109,101.625
110,100.0
111,104.16666666666667
112,88.29166666666667
113,85.0
114,104.125
115,94.125
116,94.95833333333333
117,80.79166666666667
118,99.125
119,85.0
120,100.83333333333333
121,96.66666666666667
122,91.625
123,90.83333333333333
124,93.29166666666667
125,81.625
126,78.29166666666667
127,89.95833333333333
128,89.16666666666667
129,99.95833333333333
130,84.16666666666667
131,70.0
132,99.125
133,64.08333333333333
134,99.16666666666667
135,80.79166666666667
136,80.0
137,94.125
138,93.33333333333333
139,87.41666666666667
140,100.79166666666667
141,98.33333333333333
142,95.79166666666667
143,91.66666666666667
144,99.16666666666667
145,86.625
146,104.16666666666667
147,69.16666666666667
148,103.29166666666667
149,95.83333333333333
150,88.33333333333333
151,89.16666666666667
152,72.5
153,96.66666666666667
154,86.66666666666667
155,96.66666666666667
156,99.125
157,85.0
158,99.16666666666667
159,74.125
160,93.29166666666667
161,100.0
162,98.33333333333333
163,80.0
164,76.66666666666667
165,100.79166666666667
166,91.66666666666667
167,78.29166666666667
168,86.66666666666667
169,91.66666666666667
170,85.83333333333333
171,70.83333333333333
172,89.95833333333333
173,81.66666666666667
174,85.83333333333333
175,94.16666666666667
176,94.16666666666667
177,93.29166666666667
178,83.33333333333333
179,93.33333333333333
180,108.29166666666667
181,65.0
182,93.33333333333333
183,93.29166666666667
184,99.16666666666667
185,77.5
186,64.16666666666667
187,104.16666666666667
188,87.5
189,95.79166666666667
190,100.79166666666667
191,58.333333333333336
192,85.0
193,79.91666666666667
194,77.5
195,89.125
196,101.58333333333333
197,93.33333333333333
198,93.29166666666667
199,101.625
200,86.66666666666667
201,85.0
202,98.33333333333333
203,100.83333333333333
204,84.125
205,81.66666666666667
206,103.25
207,85.0
208,100.75
209,101.54166666666667
210,92.41666666666667
211,99.95833333333333
212,97.5
213,85.0
214,75.79166666666667
215,103.33333333333333
216,90.79166666666667
217,85.79166666666667
218,74.95833333333333
219,84.16666666666667
220,100.0
221,89.125
222,67.5
223,99.16666666666667
224,77.5
225,100.0
226,68.29166666666667
227,96.625
228,67.5
229,105.75
230,97.5
231,97.41666666666667
232,101.54166666666667
233,69.16666666666667
234,67.45833333333333
235,76.66666666666667
236,102.41666666666667
237,99.95833333333333
238,80.0
239,103.33333333333333
240,64.16666666666667
241,83.33333333333333
242,95.625
243,94.08333333333333
244,98.33333333333333
245,84.16666666666667
246,85.0
247,100.0
248,68.33333333333333
249,105.0
250,104.125
251,74.16666666666667
252,97.375
253,103.29166666666667
254,104.95833333333333
255,52.5
256,54.958333333333336
257,89.125
258,98.33333333333333
259,76.66666666666667
260,92.45833333333333
261,96.66666666666667
262,86.66666666666667
263,98.29166666666667
264,109.125
265,91.625
266,93.29166666666667
267,86.66666666666667
268,94.95833333333333
269,89.125
270,85.79166666666667
271,93.29166666666667
272,103.25
273,96.58333333333333
274,90.83333333333333
275,97.5
276,75.0
277,88.33333333333333
278,80.79166666666667
279,95.83333333333333
280,69.16666666666667
281,108.33333333333333
282,104.125
283,83.33333333333333
284,93.29166666666667
285,99.08333333333333
286,82.5
287,99.16666666666667
288,96.66666666666667
289,84.125
290,97.45833333333333
291,83.33333333333333
292,91.66666666666667
293,93.33333333333333
294,99.16666666666667
295,98.33333333333333
296,104.125
297,99.16666666666667
298,97.45833333333333
299,80.0
300,104.16666666666667
301,103.25
302,104.16666666666667
303,96.625
304,82.5
305,81.66666666666667
306,103.29166666666667
307,87.45833333333333
308,91.66666666666667
309,104.16666666666667
310,101.625
311,93.29166666666667
312,103.29166666666667
313,92.41666666666667
314,80.79166666666667
315,70.79166666666667
316,91.625
317,100.0
318,95.83333333333333
319,87.45833333333333
320,72.5
321,96.66666666666667
322,100.0
323,89.125
324,76.66666666666667
325,81.66666666666667
326,99.95833333333333
327,84.95833333333333
328,92.5
329,102.45833333333333
330,99.16666666666667
331,109.125
332,85.0
333,96.66666666666667
334,72.45833333333333
335,75.0
336,80.0
337,104.125
338,38.333333333333336
339,83.29166666666667
340,64.16666666666667
341,85.0
342,79.16666666666667
343,67.45833333333333
344,104.125
345,96.66666666666667
346,107.45833333333333
347,82.5
348,103.29166666666667
349,97.45833333333333
350,95.0
351,101.625
352,96.625
353,85.0
354,86.625
355,89.16666666666667
356,90.83333333333333
357,78.33333333333333
358,107.45833333333333
359,90.83333333333333
360,76.625
361,97.5
362,106.625
363,93.29166666666667
364,39.166666666666664
365,102.45833333333333
366,80.0
367,104.16666666666667
368,99.16666666666667
369,105.75
370,93.33333333333333
371,92.45833333333333
372,97.5
373,66.66666666666667
374,87.5
375,79.95833333333333
376,100.0
377,89.79166666666667
378,80.83333333333333
379,65.83333333333333
380,97.41666666666667
381,96.66666666666667
382,85.79166666666667
383,92.45833333333333
384,90.83333333333333
385,76.66666666666667
386,96.54166666666667
387,100.83333333333333
388,80.0
389,74.16666666666667
390,88.29166666666667
391,78.29166666666667
392,98.33333333333333
393,99.125
394,83.33333333333333
395,89.125
396,70.0
397,79.16666666666667
398,100.83333333333333
399,99.125
400,98.29166666666667
401,99.16666666666667
402,88.29166666666667
403,78.33333333333333
404,81.625
405,99.08333333333333
406,72.45833333333333
407,100.83333333333333
408,102.45833333333333
409,88.33333333333333
410,98.33333333333333
411,68.29166666666667
412,96.625
413,92.5
414,65.79166666666667
415,98.33333333333333
416,96.66666666666667
417,67.5
418,90.79166666666667
419,97.5
420,52.5
421,103.33333333333333
422,90.83333333333333
423,100.0
424,100.0
425,112.5
426,100.79166666666667
427,69.95833333333333
428,98.29166666666667
429,73.33333333333333
430,88.33333333333333
431,77.5
432,100.0
433,74.95833333333333
434,99.16666666666667
435,97.41666666666667
436,99.16666666666667
437,87.5
438,63.333333333333336
439,101.66666666666667
440,86.625
441,90.83333333333333
442,89.125
443,95.79166666666667
444,98.33333333333333
445,93.29166666666667
446,78.33333333333333
447,91.625
448,86.66666666666667
449,99.08333333333333
450,93.29166666666667
451,102.5
452,76.66666666666667
453,100.0
454,100.0
455,87.5
