,p2_sleep_pkmn
0,1
1,1
2,2
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,0
27,0
28,2
29,0
30,0
31,0
32,0
33,0
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,2
48,0
49,1
50,0
51,1
52,1
53,0
54,0
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,3
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,0
80,1
81,2
82,0
83,1
84,0
85,1
86,1
87,0
88,1
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,0
97,1
98,1
99,1
100,2
101,1
102,2
103,1
104,1
105,1
106,1
107,0
108,1
109,3
110,1
111,1
112,1
113,1
114,1
115,1
116,2
117,1
118,0
119,2
120,2
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,2
133,0
134,1
135,1
136,3
137,1
138,1
139,0
140,2
141,1
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,1
151,1
152,0
153,0
154,2
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,1
167,0
168,1
169,2
170,1
171,1
172,1
173,1
174,1
175,1
176,2
177,1
178,1
179,2
180,0
181,0
182,2
183,1
184,1
185,1
186,1
187,1
188,0
189,2
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,0
203,2
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,2
213,0
214,1
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,0
223,1
224,0
225,1
226,0
227,1
228,1
229,0
230,3
231,2
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,1
240,2
241,0
242,1
243,0
244,1
245,1
246,1
247,1
248,0
249,1
250,1
251,0
252,0
253,1
254,0
255,0
256,1
257,1
258,1
259,1
260,0
261,1
262,1
263,0
264,2
265,1
266,5
267,1
268,1
269,1
270,1
271,1
272,0
273,1
274,1
275,1
276,1
277,0
278,0
279,0
280,1
281,0
282,1
283,1
284,0
285,1
286,2
287,0
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,2
297,2
298,0
299,1
300,1
301,1
302,0
303,1
304,1
305,2
306,1
307,1
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,3
316,0
317,1
318,1
319,1
320,0
321,1
322,1
323,1
324,2
325,1
326,2
327,0
328,0
329,1
330,1
331,1
332,1
333,0
334,2
335,0
336,1
337,1
338,0
339,1
340,1
341,1
342,0
343,1
344,1
345,2
346,1
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,1
355,0
356,1
357,0
358,1
359,1
360,0
361,1
362,2
363,2
364,0
365,1
366,1
367,2
368,1
369,1
370,2
371,1
372,1
373,1
374,0
375,1
376,1
377,0
378,1
379,1
380,0
381,1
382,2
383,0
384,1
385,1
386,0
387,1
388,1
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,1
404,0
405,1
406,1
407,0
408,1
409,3
410,1
411,1
412,0
413,0
414,0
415,0
416,1
417,1
418,0
419,1
420,0
421,1
422,0
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,0
431,1
432,2
433,1
434,1
435,1
436,0
437,1
438,1
439,0
440,1
441,0
442,1
443,2
444,1
445,1
446,1
447,1
448,0
449,1
450,1
451,0
452,0
453,0
454,0
455,1
456,1
457,1
458,0
459,0
460,1
461,1
462,1
463,1
464,2
465,0
466,0
467,1
468,2
469,1
470,1
471,0
472,1
473,1
474,2
475,0
476,0
477,0
478,2
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,1
487,2
488,1
489,1
490,1
491,0
492,1
493,0
494,1
495,0
496,0
497,0
498,0
499,1
500,1
501,1
502,1
503,2
504,1
505,1
506,1
507,0
508,1
509,1
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,0
521,1
522,0
523,1
524,0
525,1
526,1
527,3
528,0
529,1
530,1
531,0
532,0
533,1
534,1
535,1
536,2
537,0
538,0
539,1
540,2
541,0
542,1
543,0
544,1
545,2
546,1
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,0
555,1
556,2
557,1
558,0
559,0
560,1
561,2
562,1
563,0
564,0
565,1
566,1
567,1
568,0
569,0
570,1
571,0
572,1
573,1
574,0
575,0
576,1
577,0
578,1
579,0
580,1
581,1
582,0
583,0
584,1
585,0
586,0
587,0
588,0
589,1
590,1
591,0
592,2
593,2
594,2
595,0
596,1
597,1
598,1
599,1
600,1
601,0
602,1
603,2
604,0
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,1
615,1
616,0
617,2
618,2
619,1
620,1
621,0
622,0
623,1
624,1
625,0
626,2
627,1
628,0
629,1
630,1
631,1
632,0
633,1
634,1
635,1
636,1
637,1
638,1
639,0
640,1
641,1
642,2
643,0
644,1
645,2
646,1
647,0
648,1
649,0
650,2
651,0
652,1
653,1
654,1
655,0
656,0
657,0
658,1
659,1
660,2
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,0
669,0
670,1
671,1
672,1
673,1
674,0
675,1
676,1
677,1
678,0
679,0
680,0
681,1
682,0
683,1
684,1
685,1
686,1
687,2
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,0
706,0
707,1
708,1
709,0
710,1
711,0
712,0
713,1
714,1
715,0
716,2
717,1
718,0
719,1
720,0
721,1
722,1
723,2
724,0
725,1
726,1
727,1
728,0
729,0
730,2
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,1
741,1
742,0
743,0
744,1
745,2
746,0
747,1
748,2
749,0
750,1
751,0
752,1
753,0
754,0
755,0
756,2
757,2
758,1
759,2
760,1
761,1
762,0
763,1
764,1
765,2
766,0
767,1
768,0
769,0
770,1
771,0
772,1
773,1
774,2
775,0
776,1
777,1
778,1
779,1
780,0
781,0
782,1
783,1
784,1
785,1
786,0
787,0
788,0
789,2
790,1
791,1
792,2
793,1
794,1
795,1
796,1
797,2
798,1
799,2
800,1
801,1
802,0
803,1
804,1
805,1
806,0
807,1
808,0
809,0
810,0
