,p2_sum_atk_last
0,447.8
1,435.0
2,387.8
3,572.8
4,468.9
5,428.9
6,400.0
7,477.8
8,405.0
9,450.0
10,425.0
11,443.9
12,375.0
13,388.9
14,417.8
15,447.8
16,388.9
17,437.9
18,380.0
19,575.0
20,333.9
21,502.9
22,443.9
23,443.9
24,455.0
25,538.9
26,425.0
27,542.8
28,470.0
29,445.0
30,548.9
31,448.9
32,285.0
33,455.0
34,450.0
35,455.0
36,515.0
37,408.9
38,450.0
39,445.0
40,470.0
41,539.0
42,498.9
43,440.0
44,433.9
45,445.0
46,370.0
47,490.0
48,452.8
49,475.0
50,450.0
51,476.8
52,390.0
53,443.9
54,450.0
55,538.9
56,415.0
57,515.0
58,445.0
59,278.9
60,418.9
61,323.9
62,515.0
63,535.0
64,388.9
65,465.0
66,580.0
67,408.9
68,338.9
69,457.8
70,398.9
71,482.9
72,435.0
73,377.8
74,475.0
75,497.9
76,450.0
77,450.0
78,495.0
79,465.0
80,485.0
81,533.9
82,308.9
83,503.9
84,522.8
85,487.9
86,450.0
87,547.8
88,355.0
89,498.9
90,443.9
91,490.0
92,468.9
93,445.0
94,405.0
95,443.9
96,510.0
97,443.9
98,450.0
99,342.8
100,340.0
101,515.0
102,413.9
103,380.0
104,513.9
105,360.0
106,418.9
107,470.0
108,498.9
109,543.9
110,435.0
111,450.0
112,458.9
113,515.0
114,418.9
115,438.9
116,388.9
117,343.9
118,378.9
119,515.0
120,405.0
121,470.0
122,458.9
123,490.0
124,468.9
125,348.9
126,388.9
127,468.9
128,355.0
129,488.9
130,490.0
131,420.0
132,443.9
133,357.8
134,435.0
135,453.9
136,500.0
137,483.9
138,435.0
139,467.8
140,418.9
141,475.0
142,503.9
143,480.0
144,445.0
145,413.9
146,450.0
147,370.0
148,428.9
149,495.0
150,410.0
151,445.0
152,399.0
153,520.0
154,555.0
155,435.0
156,483.9
157,515.0
158,410.0
159,343.9
160,468.9
161,430.0
162,425.0
163,435.0
164,355.0
165,418.9
166,495.0
167,388.9
168,470.0
169,540.0
170,325.0
171,405.0
172,468.9
173,400.0
174,470.0
175,430.0
176,400.0
177,468.9
178,465.0
179,435.0
180,433.9
181,375.0
182,435.0
183,468.9
184,485.0
185,380.0
186,420.0
187,450.0
188,430.0
189,458.9
190,438.9
191,230.0
192,515.0
193,447.8
194,380.0
195,478.9
196,507.8
197,435.0
198,468.9
199,433.9
200,495.0
201,515.0
202,475.0
203,604.0
204,523.9
205,445.0
206,422.8
207,515.0
208,531.8
209,396.70000000000005
210,407.8
211,428.9
212,445.0
213,515.0
214,463.9
215,465.0
216,607.9
217,528.9
218,338.9
219,330.0
220,460.0
221,498.9
222,240.0
223,530.0
224,444.0
225,435.0
226,403.9
227,553.9
228,240.0
229,407.8
230,450.0
231,522.8
232,501.70000000000005
233,425.0
234,503.9
235,395.0
236,442.8
237,433.9
238,470.0
239,465.0
240,420.0
241,360.0
242,553.5
243,472.8
244,425.0
245,490.0
246,515.0
247,425.0
248,435.0
249,425.0
250,418.9
251,405.0
252,536.7
253,433.9
254,478.9
255,285.0
256,368.9
257,498.9
258,480.0
259,355.0
260,413.9
261,455.0
262,495.0
263,543.9
264,408.9
265,563.9
266,467.9
267,495.0
268,458.9
269,498.9
270,588.9
271,468.9
272,427.8
273,427.8
274,490.0
275,450.0
276,405.0
277,410.0
278,403.9
279,505.0
280,490.0
281,510.0
282,418.9
283,360.0
284,468.9
285,407.8
286,460.0
287,370.0
288,470.0
289,453.9
290,418.9
291,355.0
292,470.0
293,435.0
294,410.0
295,425.0
296,418.9
297,450.0
298,398.9
299,385.0
300,450.0
301,427.8
302,450.0
303,453.9
304,325.0
305,400.0
306,433.9
307,508.9
308,454.0
309,385.0
310,433.9
311,468.9
312,433.9
313,407.8
314,453.9
315,418.9
316,513.9
317,435.0
318,450.0
319,458.9
320,375.0
321,470.0
322,540.0
323,498.9
324,355.0
325,405.0
326,508.9
327,457.9
328,470.0
329,403.9
330,445.0
331,408.9
332,515.0
333,505.0
334,213.9
335,355.0
336,470.0
337,448.9
338,215.0
339,358.9
340,245.0
341,515.0
342,605.0
343,378.9
344,482.9
345,470.0
346,503.9
347,325.0
348,448.9
349,418.9
350,425.0
351,443.9
352,453.9
353,515.0
354,343.9
355,495.0
356,490.0
357,465.0
358,443.9
359,455.0
360,428.9
361,450.0
362,428.9
363,468.9
364,335.0
365,458.9
366,445.0
367,495.0
368,445.0
369,427.8
370,470.0
371,443.9
372,410.0
373,510.0
374,425.0
375,488.9
376,435.0
377,529.5
