,p2_sum_def_last
0,398.8
1,380.0
2,368.8
3,473.8
4,416.9
5,361.9
6,385.0
7,403.8
8,420.0
9,435.0
10,505.0
11,376.9
12,365.0
13,331.9
14,413.8
15,403.8
16,341.9
17,381.9
18,305.0
19,485.0
20,311.9
21,441.9
22,431.9
23,376.9
24,465.0
25,506.9
26,450.0
27,468.8
28,405.0
29,390.0
30,511.9
31,436.9
32,245.0
33,520.0
34,395.0
35,475.0
36,455.0
37,341.9
38,395.0
39,375.0
40,490.0
41,485.0
42,441.9
43,360.0
44,381.9
45,395.0
46,345.0
47,575.0
48,403.8
49,420.0
50,395.0
51,433.8
52,365.0
53,426.9
54,395.0
55,451.9
56,395.0
57,455.0
58,445.0
59,276.9
60,391.9
61,306.9
62,455.0
63,635.0
64,406.9
65,430.0
66,570.0
67,426.9
68,281.9
69,413.8
70,371.9
71,386.9
72,445.0
73,373.8
74,405.0
75,401.9
76,435.0
77,395.0
78,515.0
79,395.0
80,430.0
81,536.9
82,301.9
83,461.9
84,453.8
85,544.9
86,445.0
87,518.8
88,280.0
89,441.9
90,366.9
91,415.0
92,421.9
93,375.0
94,430.0
95,366.9
96,475.0
97,376.9
98,380.0
99,338.8
100,295.0
101,455.0
102,341.9
103,350.0
104,456.9
105,295.0
106,366.9
107,390.0
108,466.9
109,471.9
110,380.0
111,380.0
112,411.9
113,455.0
114,366.9
115,391.9
116,331.9
117,271.9
118,361.9
119,455.0
120,355.0
121,490.0
122,486.9
123,415.0
124,416.9
125,291.9
126,376.9
127,441.9
128,330.0
129,471.9
130,405.0
131,380.0
132,376.9
133,308.8
134,510.0
135,521.9
136,385.0
137,491.9
138,370.0
139,408.8
140,391.9
141,420.0
142,486.9
143,515.0
144,375.0
145,406.9
146,380.0
147,320.0
148,361.9
149,595.0
150,410.0
151,350.0
152,295.0
153,450.0
154,520.0
155,405.0
156,451.9
157,455.0
158,330.0
159,366.9
160,416.9
161,380.0
162,420.0
163,435.0
164,285.0
165,391.9
166,500.0
167,376.9
168,425.0
169,505.0
170,340.0
171,415.0
172,441.9
173,335.0
174,415.0
175,355.0
176,325.0
177,416.9
178,430.0
179,370.0
180,366.9
181,330.0
182,370.0
183,416.9
184,400.0
185,335.0
186,370.0
187,380.0
188,345.0
189,501.9
190,441.9
191,245.0
192,455.0
193,398.8
194,335.0
195,396.9
196,438.8
197,370.0
198,416.9
199,356.9
200,465.0
201,455.0
202,420.0
203,550.0
204,451.9
205,390.0
206,363.8
207,455.0
208,478.8
209,370.70000000000005
210,353.8
211,406.9
212,440.0
213,455.0
214,411.9
215,395.0
216,536.9
217,471.9
218,376.9
219,270.0
220,410.0
221,441.9
222,225.0
223,440.0
224,345.0
225,380.0
226,356.9
227,496.9
228,200.0
229,353.8
230,370.0
231,453.8
232,440.70000000000005
233,480.0
234,441.9
235,330.0
236,378.8
237,381.9
238,405.0
239,395.0
240,370.0
241,295.0
242,504.5
243,458.8
244,450.0
245,405.0
246,455.0
247,395.0
248,370.0
249,355.0
250,366.9
251,390.0
252,510.70000000000005
253,381.9
254,446.9
255,255.0
256,326.9
257,441.9
258,410.0
259,285.0
260,431.9
261,435.0
262,465.0
263,471.9
264,341.9
265,621.9
266,366.9
267,465.0
268,391.9
269,441.9
270,641.9
271,416.9
272,363.8
