,p2_sum_spa_last
0,479.5
1,600.0
2,629.5
3,549.5
4,559.75
5,619.75
6,340.0
7,554.5
8,450.0
9,580.0
10,540.0
11,594.75
12,450.0
13,459.75
14,674.5
15,619.5
16,629.75
17,634.75
18,600.0
19,525.0
20,529.75
21,549.75
22,589.75
23,594.75
24,545.0
25,544.75
26,590.0
27,514.5
28,480.0
29,490.0
30,594.75
31,619.75
32,235.0
33,500.0
34,575.0
35,585.0
36,510.0
37,654.75
38,595.0
39,595.0
40,580.0
41,545.0
42,534.75
43,450.0
44,619.75
45,625.0
46,525.0
47,515.0
48,584.5
49,590.0
50,595.0
51,619.5
52,535.0
53,574.75
54,595.0
55,559.75
56,515.0
57,510.0
58,405.0
59,564.75
60,604.75
61,499.75
62,510.0
63,595.0
64,619.75
65,575.0
66,520.0
67,574.75
68,524.75
69,529.5
70,659.75
71,589.75
72,590.0
73,439.5
74,525.0
75,564.75
76,575.0
77,595.0
78,575.0
79,600.0
80,515.0
81,549.75
82,559.75
83,584.75
84,584.5
85,629.75
86,615.0
87,529.5
88,355.0
89,534.75
90,554.75
91,545.0
92,639.75
93,595.0
94,450.0
95,554.75
96,385.0
97,594.75
98,625.0
99,519.5
100,475.0
101,510.0
102,559.75
103,480.0
104,589.75
105,500.0
106,624.75
107,480.0
108,514.75
109,609.75
110,600.0
111,625.0
112,529.75
113,510.0
114,624.75
115,564.75
116,569.75
117,484.75
118,594.75
119,510.0
120,605.0
121,580.0
122,549.75
123,545.0
124,559.75
125,489.75
126,469.75
127,539.75
128,535.0
129,599.75
130,505.0
131,420.0
132,594.75
133,384.5
134,595.0
135,484.75
136,480.0
137,564.75
138,560.0
139,524.5
140,604.75
141,590.0
142,574.75
143,550.0
144,595.0
145,519.75
146,625.0
147,415.0
148,619.75
149,575.0
150,530.0
151,535.0
152,435.0
153,580.0
154,520.0
155,580.0
156,594.75
157,510.0
158,595.0
159,444.75
160,559.75
161,600.0
162,590.0
163,480.0
164,460.0
165,604.75
166,550.0
167,469.75
168,520.0
169,550.0
170,515.0
171,425.0
172,539.75
173,490.0
174,515.0
175,565.0
176,565.0
177,559.75
178,500.0
179,560.0
180,649.75
181,390.0
182,560.0
183,559.75
184,595.0
185,465.0
186,385.0
187,625.0
188,525.0
189,574.75
190,604.75
191,350.0
192,510.0
193,479.5
194,465.0
195,534.75
196,609.5
197,560.0
198,559.75
199,609.75
200,520.0
201,510.0
202,590.0
203,605.0
204,504.75
205,490.0
206,619.5
207,510.0
208,604.5
209,609.25
210,554.5
211,599.75
212,585.0
213,510.0
214,454.75
215,620.0
216,544.75
217,514.75
218,449.75
219,505.0
220,600.0
221,534.75
222,405.0
223,595.0
224,465.0
225,600.0
226,409.75
227,579.75
228,405.0
229,634.5
230,585.0
231,584.5
232,609.25
233,415.0
234,404.75
235,460.0
236,614.5
237,599.75
238,480.0
239,620.0
240,385.0
241,500.0
242,573.75
243,564.5
244,590.0
245,505.0
246,510.0
247,600.0
248,410.0
249,630.0
250,624.75
251,445.0
252,584.25
253,619.75
254,629.75
255,315.0
256,329.75
257,534.75
258,590.0
259,460.0
260,554.75
261,580.0
262,520.0
263,589.75
264,654.75
265,549.75
266,559.75
267,520.0
268,569.75
269,534.75
270,514.75
271,559.75
272,619.5
273,579.5
274,545.0
275,585.0
276,450.0
277,530.0
278,484.75
279,575.0
280,415.0
281,650.0
282,624.75
283,500.0
284,559.75
285,594.5
286,495.0
287,595.0
