,p2_sum_spe_last
0,338.5
1,311.25
2,468.5
3,471.0
4,275.5
5,358.0
6,278.75
7,433.5
8,282.5
9,497.5
10,387.5
11,368.0
12,387.5
13,348.0
14,359.75
15,451.0
16,415.5
17,288.0
18,271.25
19,430.0
20,374.25
21,240.5
22,339.25
23,404.25
24,372.5
25,288.0
26,347.5
27,407.25
28,368.75
29,337.5
30,423.0
31,398.0
32,172.5
33,285.0
34,490.0
35,356.25
36,313.75
37,408.0
38,350.0
39,387.5
40,387.5
41,420.0
42,190.5
43,151.25
44,271.75
45,450.0
46,405.0
47,280.0
48,332.25
49,385.0
50,323.75
51,374.75
52,367.5
53,411.75
54,222.5
55,433.0
56,370.0
57,276.25
58,335.0
59,385.5
60,343.0
61,285.5
62,358.75
63,368.75
64,430.5
65,191.25
66,265.0
67,315.5
68,215.5
69,361.0
70,353.0
71,410.5
72,318.75
73,328.5
74,290.0
75,423.0
76,346.25
77,432.5
78,336.25
79,635.0
80,368.75
81,345.5
82,289.25
83,369.25
84,363.5
85,545.5
86,363.75
87,281.0
88,218.75
89,329.25
90,349.25
91,315.0
92,239.25
93,260.0
94,138.75
95,270.5
96,220.0
97,381.75
98,326.25
99,302.25
100,338.75
101,358.75
102,475.5
103,285.0
104,488.0
105,211.25
106,323.0
107,278.75
108,285.5
109,485.5
110,352.5
111,401.25
112,231.75
113,332.5
114,326.75
115,371.75
116,500.5
117,246.75
118,489.25
119,400.0
120,535.0
121,312.5
122,278.0
123,315.0
124,399.25
125,308.0
126,216.75
127,254.25
128,332.5
129,254.25
130,338.75
131,290.0
132,404.25
133,193.5
134,353.75
135,264.25
136,395.0
137,463.0
138,368.75
139,373.5
140,305.5
141,332.5
142,406.75
143,388.75
144,383.75
145,429.25
146,300.0
147,213.75
148,305.5
149,570.0
150,407.5
151,308.75
152,271.25
153,242.5
154,400.0
155,312.5
156,505.5
157,313.75
158,261.25
159,265.5
160,440.5
161,525.0
162,373.75
163,300.0
164,193.75
165,301.75
166,268.75
167,213.0
168,405.0
169,452.5
170,155.0
171,285.0
172,318.0
173,270.0
174,302.5
175,480.0
176,382.5
177,403.0
178,293.75
179,275.0
180,394.25
181,187.5
182,331.25
183,354.25
184,447.5
185,307.5
186,322.5
187,465.0
188,305.0
189,359.25
190,428.0
191,213.75
192,276.25
193,233.5
194,307.5
195,369.25
196,358.5
197,455.0
198,440.5
199,264.25
200,318.75
201,400.0
202,216.25
203,238.75
204,283.0
205,356.25
206,461.0
207,400.0
208,461.0
209,415.25
210,342.25
211,378.0
212,361.25
213,313.75
214,349.25
215,335.0
216,435.5
217,550.5
218,385.5
219,420.0
220,437.5
