,p2_switches_count
0,10
1,10
2,3
3,6
4,7
5,13
6,11
7,5
8,7
9,12
10,7
11,9
12,10
13,8
14,5
15,6
16,10
17,6
18,5
19,10
20,7
21,7
22,9
23,8
24,11
25,7
26,14
27,3
28,6
29,8
30,6
31,14
32,9
33,14
34,5
35,8
36,10
37,13
38,11
39,9
40,13
41,7
42,8
43,10
44,10
45,7
46,6
47,11
48,14
49,12
50,11
51,9
52,6
53,8
54,12
55,14
56,9
57,12
58,11
59,8
60,6
61,9
62,13
63,8
64,10
65,15
66,15
67,7
68,5
69,4
70,4
71,9
72,9
73,8
74,9
75,6
76,7
77,14
78,12
79,5
80,9
81,8
82,7
83,7
84,10
85,8
86,8
87,6
88,10
89,10
90,9
91,8
92,10
93,7
94,9
95,13
96,10
97,9
98,10
99,10
100,6
101,9
102,14
103,12
104,7
105,11
106,6
107,12
108,11
109,12
110,10
111,11
112,8
113,7
114,11
115,7
116,4
117,9
118,14
119,12
120,14
121,8
122,9
123,6
124,10
125,12
126,8
127,5
128,10
129,8
130,10
131,7
132,11
133,4
134,15
135,8
136,6
137,5
138,8
139,7
140,7
141,10
142,6
143,11
144,10
145,12
146,10
147,11
148,9
149,8
150,12
151,9
152,7
153,5
154,11
155,9
156,12
157,10
158,8
159,6
160,8
161,14
162,8
163,12
164,8
165,11
166,11
167,7
168,8
169,12
170,7
171,14
172,10
173,9
174,13
175,11
176,10
177,8
178,9
179,13
180,11
181,13
182,7
183,12
184,13
185,8
186,9
187,13
188,8
189,10
190,10
191,9
192,12
193,6
194,12
195,7
196,11
197,8
198,29
199,13
200,9
201,13
202,9
203,7
204,12
205,9
206,3
207,11
208,3
209,11
210,10
211,6
212,7
213,9
214,8
215,6
216,4
217,5
218,5
219,12
220,8
221,11
222,10
223,9
224,11
225,10
226,7
227,5
228,8
229,4
230,10
231,8
232,9
233,8
234,8
235,9
236,14
237,6
238,7
239,11
240,7
241,10
242,0
243,9
244,9
245,13
246,13
247,16
248,9
249,13
250,15
251,8
252,5
253,6
254,6
255,10
256,6
257,14
258,6
259,13
260,7
261,11
262,18
263,6
264,14
265,8
266,4
267,14
268,12
269,5
270,7
271,11
272,10
273,5
274,12
275,8
276,7
277,12
278,5
279,12
280,12
281,9
282,9
283,9
284,13
285,12
286,7
287,12
288,12
289,8
290,11
291,10
292,11
293,14
294,6
295,6
296,10
297,10
298,15
299,9
300,9
301,7
302,8
303,6
304,10
305,14
306,10
307,9
308,13
309,9
310,10
311,9
