,p1_spd_trend,p2_spd_trend,spd_trend_diff
0,-20.83333333333333,-17.5,-3.3333333333333286
1,-47.5,0.0,-47.5
2,-20.83333333333333,0.0,-20.83333333333333
3,-59.99999999999999,0.0,-59.99999999999999
4,-10.833333333333329,0.0,-10.833333333333329
5,0.0,0.0,0.0
6,-44.16666666666667,-28.333333333333336,-15.833333333333336
7,-37.5,0.0,-37.5
8,-67.5,-17.5,-50.0
9,-43.333333333333336,0.0,-43.333333333333336
10,-60.833333333333336,-9.166666666666671,-51.666666666666664
11,-47.5,0.0,-47.5
12,-28.333333333333343,-10.833333333333329,-17.500000000000014
13,-43.333333333333336,-21.66666666666667,-21.666666666666664
14,-34.16666666666666,0.0,-34.16666666666666
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,-25.83333333333333,0.0,-25.83333333333333
18,0.0,0.0,0.0
19,-35.833333333333336,0.0,-35.833333333333336
20,-17.5,-14.166666666666657,-3.333333333333343
21,-11.666666666666657,0.0,-11.666666666666657
22,-54.166666666666664,0.0,-54.166666666666664
23,-20.83333333333333,0.0,-20.83333333333333
24,-85.83333333333333,0.0,-85.83333333333333
25,-18.33333333333333,0.0,-18.33333333333333
26,-7.5,0.0,-7.5
27,-10.833333333333329,0.0,-10.833333333333329
28,-19.16666666666667,0.0,-19.16666666666667
29,-65.83333333333333,-17.5,-48.33333333333333
30,-55.00000000000001,0.0,-55.00000000000001
31,-15.833333333333329,0.0,-15.833333333333329
32,-72.5,-59.166666666666664,-13.333333333333336
33,0.0,0.0,0.0
34,-70.83333333333334,0.0,-70.83333333333334
35,-38.33333333333333,0.0,-38.33333333333333
36,0.0,0.0,0.0
37,-42.49999999999999,0.0,-42.49999999999999
38,0.0,0.0,0.0
39,-15.833333333333329,0.0,-15.833333333333329
40,-31.666666666666657,0.0,-31.666666666666657
41,-10.833333333333343,0.0,-10.833333333333343
42,-7.5,0.0,-7.5
43,-10.833333333333329,-17.5,6.666666666666671
44,-16.666666666666657,0.0,-16.666666666666657
45,0.0,0.0,0.0
46,-36.66666666666667,-10.833333333333329,-25.833333333333343
47,-31.66666666666667,0.0,-31.66666666666667
48,0.0,0.0,0.0
49,-59.16666666666667,0.0,-59.16666666666667
50,-31.666666666666664,0.0,-31.666666666666664
51,-10.833333333333329,0.0,-10.833333333333329
52,-14.166666666666671,-17.5,3.3333333333333286
53,-26.66666666666667,0.0,-26.66666666666667
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,-59.16666666666667,-17.5,-41.66666666666667
59,-31.666666666666657,-10.833333333333329,-20.83333333333333
60,-20.83333333333333,0.0,-20.83333333333333
61,-17.5,-10.833333333333329,-6.666666666666671
62,-20.833333333333343,0.0,-20.833333333333343
63,-58.33333333333333,0.0,-58.33333333333333
64,0.0,0.0,0.0
65,-23.333333333333336,0.0,-23.333333333333336
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,-22.5,-20.833333333333343,-1.6666666666666572
69,-10.833333333333343,0.0,-10.833333333333343
70,-31.66666666666667,0.0,-31.66666666666667
71,-42.5,0.0,-42.5
72,-52.5,0.0,-52.5
73,-42.50000000000001,-15.833333333333329,-26.66666666666668
74,-11.666666666666657,0.0,-11.666666666666657
75,-39.166666666666664,0.0,-39.166666666666664
76,-40.833333333333336,0.0,-40.833333333333336
77,0.0,0.0,0.0
78,-49.166666666666664,0.0,-49.166666666666664
79,-28.333333333333343,0.0,-28.333333333333343
80,-20.833333333333343,0.0,-20.833333333333343
81,0.0,0.0,0.0
82,-28.333333333333343,-10.833333333333329,-17.500000000000014
83,-20.83333333333333,0.0,-20.83333333333333
84,0.0,0.0,0.0
85,-25.833333333333343,0.0,-25.833333333333343
86,-55.83333333333333,0.0,-55.83333333333333
87,-22.5,0.0,-22.5
88,-43.33333333333333,-31.666666666666664,-11.666666666666664
89,-38.333333333333336,0.0,-38.333333333333336
90,-60.0,0.0,-60.0
91,-10.833333333333329,0.0,-10.833333333333329
92,0.0,0.0,0.0
93,-84.16666666666666,0.0,-84.16666666666666
94,-49.16666666666667,-9.166666666666671,-40.0
95,0.0,0.0,0.0
96,-74.16666666666666,-17.5,-56.66666666666666
97,-20.833333333333343,0.0,-20.833333333333343
98,-45.00000000000001,0.0,-45.00000000000001
99,-17.5,-10.833333333333343,-6.666666666666657
100,-20.83333333333333,-20.83333333333333,0.0
101,-50.833333333333336,0.0,-50.833333333333336
102,-10.833333333333343,0.0,-10.833333333333343
103,-72.5,-16.66666666666667,-55.83333333333333
104,-15.833333333333329,0.0,-15.833333333333329
105,-29.16666666666667,-14.166666666666671,-15.0
106,-48.333333333333336,0.0,-48.333333333333336
107,-71.66666666666666,-11.666666666666671,-59.999999999999986
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,-17.5,0.0,-17.5
111,-31.66666666666667,0.0,-31.66666666666667
112,-48.333333333333336,0.0,-48.333333333333336
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,-32.5,0.0,-32.5
116,0.0,0.0,0.0
117,-28.33333333333333,-20.83333333333333,-7.5
118,-10.833333333333329,0.0,-10.833333333333329
119,-25.83333333333333,0.0,-25.83333333333333
120,-54.166666666666664,0.0,-54.166666666666664
121,-56.666666666666664,0.0,-56.666666666666664
122,0.0,0.0,0.0
123,-22.5,0.0,-22.5
124,-10.833333333333343,0.0,-10.833333333333343
125,-28.33333333333333,-20.83333333333333,-7.5
126,-10.833333333333329,-10.833333333333329,0.0
127,-39.166666666666664,0.0,-39.166666666666664
128,-10.833333333333343,-10.833333333333329,-1.4210854715202004e-14
129,-54.166666666666664,0.0,-54.166666666666664
130,-11.666666666666671,0.0,-11.666666666666671
131,-56.66666666666667,-16.66666666666667,-40.0
132,-47.50000000000001,0.0,-47.50000000000001
133,-56.66666666666667,-28.333333333333343,-28.33333333333333
134,-15.833333333333329,0.0,-15.833333333333329
135,-17.5,-21.666666666666657,4.166666666666657
136,0.0,0.0,0.0
137,-44.166666666666664,0.0,-44.166666666666664
138,-10.833333333333343,0.0,-10.833333333333343
139,0.0,0.0,0.0
140,-38.33333333333334,0.0,-38.33333333333334
141,-27.499999999999993,0.0,-27.499999999999993
142,-50.83333333333333,0.0,-50.83333333333333
143,-10.833333333333329,0.0,-10.833333333333329
144,-31.666666666666664,0.0,-31.666666666666664
145,-29.999999999999993,-10.833333333333329,-19.166666666666664
146,-20.0,0.0,-20.0
147,-63.333333333333336,-29.166666666666657,-34.16666666666668
148,0.0,0.0,0.0
149,-31.666666666666664,0.0,-31.666666666666664
150,-10.833333333333329,0.0,-10.833333333333329
151,-17.5,0.0,-17.5
152,-17.5,-20.83333333333333,3.3333333333333286
153,-16.66666666666667,0.0,-16.66666666666667
154,-11.666666666666657,0.0,-11.666666666666657
155,-38.333333333333336,0.0,-38.333333333333336
156,0.0,0.0,0.0
157,-55.00000000000001,0.0,-55.00000000000001
158,-16.66666666666667,0.0,-16.66666666666667
159,-40.0,-20.83333333333333,-19.16666666666667
160,-20.000000000000007,0.0,-20.000000000000007
161,0.0,0.0,0.0
162,-20.83333333333333,0.0,-20.83333333333333
163,-39.166666666666664,-17.5,-21.666666666666664
164,-46.66666666666667,-20.83333333333333,-25.833333333333343
165,-31.666666666666657,0.0,-31.666666666666657
166,-10.833333333333343,0.0,-10.833333333333343
167,-20.833333333333343,-22.5,1.6666666666666572
168,-10.833333333333329,0.0,-10.833333333333329
169,-33.33333333333333,0.0,-33.33333333333333
170,-83.33333333333334,-10.833333333333343,-72.5
171,-27.499999999999993,-10.833333333333343,-16.66666666666665
172,-15.833333333333329,0.0,-15.833333333333329
173,-50.0,-22.5,-27.5
174,-15.833333333333343,0.0,-15.833333333333343
175,-36.666666666666664,0.0,-36.666666666666664
176,-22.5,0.0,-22.5
177,-26.666666666666664,0.0,-26.666666666666664
178,-37.5,-17.5,-20.0
179,-54.166666666666664,0.0,-54.166666666666664
180,-7.5,0.0,-7.5
181,-33.33333333333333,-20.83333333333333,-12.5
182,-32.50000000000001,0.0,-32.50000000000001
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,-17.5,-20.83333333333333,3.3333333333333286
186,-20.83333333333333,-20.83333333333333,0.0
187,-31.66666666666667,0.0,-31.66666666666667
188,-83.33333333333334,0.0,-83.33333333333334
189,0.0,0.0,0.0
190,-22.5,0.0,-22.5
191,-39.166666666666664,-31.666666666666664,-7.5
192,-44.99999999999999,0.0,-44.99999999999999
193,-53.33333333333333,-17.5,-35.83333333333333
194,-33.333333333333336,-20.83333333333333,-12.500000000000007
195,-54.166666666666664,0.0,-54.166666666666664
196,-20.833333333333343,0.0,-20.833333333333343
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,-28.33333333333333,0.0,-28.33333333333333
200,-58.33333333333333,0.0,-58.33333333333333
201,-27.5,0.0,-27.5
202,-10.833333333333343,0.0,-10.833333333333343
203,-32.5,0.0,-32.5
204,-28.33333333333333,0.0,-28.33333333333333
205,-75.83333333333333,-17.5,-58.33333333333333
206,-22.5,0.0,-22.5
207,-20.0,0.0,-20.0
208,-10.833333333333329,0.0,-10.833333333333329
209,-28.33333333333333,0.0,-28.33333333333333
210,0.0,0.0,0.0
211,-7.5,0.0,-7.5
212,-33.33333333333333,0.0,-33.33333333333333
213,-31.66666666666667,0.0,-31.66666666666667
214,-53.333333333333336,-17.5,-35.833333333333336
215,0.0,0.0,0.0
216,-17.5,0.0,-17.5
217,-75.83333333333333,0.0,-75.83333333333333
218,-10.833333333333343,-10.833333333333343,0.0
219,-44.166666666666664,-20.83333333333333,-23.333333333333336
220,-49.16666666666667,0.0,-49.16666666666667
221,-10.833333333333329,0.0,-10.833333333333329
222,-50.833333333333336,-31.66666666666667,-19.166666666666664
223,-31.66666666666667,0.0,-31.66666666666667
224,-22.5,-21.66666666666667,-0.8333333333333286
225,-31.666666666666664,0.0,-31.666666666666664
226,-14.166666666666671,-20.83333333333333,6.666666666666657
227,-70.83333333333333,0.0,-70.83333333333333
228,-59.16666666666667,-32.5,-26.66666666666667
229,-11.666666666666657,0.0,-11.666666666666657
230,-31.66666666666667,0.0,-31.66666666666667
231,-21.666666666666657,0.0,-21.666666666666657
232,0.0,0.0,0.0
233,-54.16666666666667,-20.83333333333333,-33.33333333333334
234,-32.5,-17.5,-15.0
235,-26.666666666666657,-22.5,-4.166666666666657
236,0.0,0.0,0.0
237,-15.833333333333329,0.0,-15.833333333333329
238,-15.833333333333329,0.0,-15.833333333333329
239,-20.83333333333333,0.0,-20.83333333333333
240,-43.333333333333336,-20.83333333333333,-22.500000000000007
241,-20.833333333333343,-13.333333333333343,-7.5
242,-13.333333333333343,0.0,-13.333333333333343
243,-31.66666666666667,0.0,-31.66666666666667
244,-10.833333333333343,0.0,-10.833333333333343
245,-33.333333333333336,0.0,-33.333333333333336
246,-10.833333333333329,0.0,-10.833333333333329
247,-39.16666666666667,0.0,-39.16666666666667
248,-25.833333333333343,-20.833333333333343,-5.0
249,-49.16666666666667,0.0,-49.16666666666667
250,0.0,0.0,0.0
251,-10.833333333333329,-10.833333333333329,0.0
252,0.0,0.0,0.0
253,-17.5,0.0,-17.5
254,-16.66666666666667,0.0,-16.66666666666667
255,-31.66666666666667,-27.5,-4.166666666666671
256,-38.33333333333333,-38.333333333333336,7.105427357601002e-15
257,0.0,0.0,0.0
258,-36.666666666666664,0.0,-36.666666666666664
259,-32.50000000000001,-20.83333333333333,-11.666666666666679
260,0.0,0.0,0.0
261,-10.833333333333329,0.0,-10.833333333333329
262,-42.49999999999999,0.0,-42.49999999999999
263,-17.5,0.0,-17.5
264,-14.166666666666657,0.0,-14.166666666666657
265,-20.83333333333333,0.0,-20.83333333333333
266,-37.49999999999999,0.0,-37.49999999999999
267,-33.33333333333333,0.0,-33.33333333333333
268,-10.833333333333343,0.0,-10.833333333333343
269,-85.83333333333333,0.0,-85.83333333333333
270,-43.333333333333336,0.0,-43.333333333333336
271,-61.66666666666666,0.0,-61.66666666666666
272,-16.66666666666667,0.0,-16.66666666666667
273,0.0,0.0,0.0
274,0.0,0.0,0.0
275,-15.833333333333329,0.0,-15.833333333333329
276,-60.833333333333336,-21.66666666666667,-39.166666666666664
277,0.0,0.0,0.0
278,-44.99999999999999,-10.833333333333329,-34.166666666666664
279,-51.666666666666664,0.0,-51.666666666666664
280,-65.0,-17.5,-47.5
281,-29.999999999999993,0.0,-29.999999999999993
282,0.0,0.0,0.0
283,-40.0,-16.66666666666667,-23.33333333333333
284,-42.5,0.0,-42.5
285,0.0,0.0,0.0
286,-52.5,-22.5,-30.0
287,-37.5,0.0,-37.5
288,-17.5,0.0,-17.5
289,0.0,0.0,0.0
290,-17.5,0.0,-17.5
291,-14.166666666666657,-20.833333333333343,6.666666666666686
292,-44.166666666666664,0.0,-44.166666666666664
293,-26.666666666666657,0.0,-26.666666666666657
294,-68.33333333333334,0.0,-68.33333333333334
295,-52.49999999999999,0.0,-52.49999999999999
296,-16.666666666666657,0.0,-16.666666666666657
297,-38.33333333333334,0.0,-38.33333333333334
298,0.0,0.0,0.0
299,-15.833333333333329,-14.166666666666671,-1.6666666666666572
300,-37.49999999999999,0.0,-37.49999999999999
301,0.0,0.0,0.0
302,-75.83333333333333,0.0,-75.83333333333333
303,0.0,0.0,0.0
304,-36.66666666666667,-10.833333333333329,-25.833333333333343
305,-21.66666666666667,-15.833333333333329,-5.833333333333343
306,-21.666666666666657,0.0,-21.666666666666657
307,-31.666666666666664,0.0,-31.666666666666664
308,0.0,0.0,0.0
309,-17.5,0.0,-17.5
310,-10.833333333333343,0.0,-10.833333333333343
311,-16.66666666666667,0.0,-16.66666666666667
312,-34.16666666666667,0.0,-34.16666666666667
313,-28.333333333333343,0.0,-28.333333333333343
314,-56.666666666666664,-17.5,-39.166666666666664
315,-10.833333333333329,-20.83333333333333,10.0
316,-43.333333333333336,0.0,-43.333333333333336
317,-31.66666666666667,0.0,-31.66666666666667
318,-15.833333333333329,0.0,-15.833333333333329
319,-38.33333333333333,0.0,-38.33333333333333
320,-28.33333333333333,-16.66666666666667,-11.666666666666657
321,-20.83333333333333,0.0,-20.83333333333333
322,-28.333333333333336,0.0,-28.333333333333336
323,0.0,0.0,0.0
324,-30.833333333333343,-20.83333333333333,-10.000000000000014
325,-76.66666666666667,-17.5,-59.16666666666667
326,-59.16666666666667,0.0,-59.16666666666667
327,-38.33333333333333,0.0,-38.33333333333333
328,-17.5,0.0,-17.5
329,-55.833333333333336,0.0,-55.833333333333336
330,-28.333333333333336,0.0,-28.333333333333336
331,0.0,0.0,0.0
332,-48.333333333333336,0.0,-48.333333333333336
333,-58.33333333333333,0.0,-58.33333333333333
334,-54.166666666666664,-31.66666666666667,-22.499999999999993
335,-60.83333333333333,-20.83333333333333,-40.0
336,-43.333333333333336,0.0,-43.333333333333336
337,-34.166666666666664,0.0,-34.166666666666664
338,-49.99999999999999,-46.666666666666664,-3.3333333333333286
339,-43.333333333333336,-22.5,-20.833333333333336
340,-52.50000000000001,-18.33333333333333,-34.16666666666668
341,-22.5,0.0,-22.5
342,-10.833333333333329,0.0,-10.833333333333329
343,-10.833333333333343,-13.333333333333343,2.5
344,0.0,0.0,0.0
345,-18.33333333333333,0.0,-18.33333333333333
346,0.0,0.0,0.0
347,-47.49999999999999,-11.666666666666671,-35.83333333333332
348,-20.0,0.0,-20.0
349,0.0,0.0,0.0
350,-14.166666666666671,0.0,-14.166666666666671
351,0.0,0.0,0.0
352,-37.49999999999999,0.0,-37.49999999999999
353,-13.333333333333343,0.0,-13.333333333333343
354,-27.5,-10.833333333333329,-16.66666666666667
355,-27.5,0.0,-27.5
356,-17.5,0.0,-17.5
357,-46.66666666666667,-10.833333333333343,-35.83333333333333
358,-44.166666666666664,0.0,-44.166666666666664
359,0.0,0.0,0.0
360,-34.16666666666666,-20.83333333333333,-13.333333333333329
361,-29.16666666666667,0.0,-29.16666666666667
362,-21.666666666666657,0.0,-21.666666666666657
363,-36.666666666666664,0.0,-36.666666666666664
364,-68.33333333333334,-51.666666666666664,-16.66666666666668
365,0.0,0.0,0.0
366,-20.833333333333343,-17.5,-3.333333333333343
367,-31.666666666666657,0.0,-31.666666666666657
368,-36.666666666666664,0.0,-36.666666666666664
369,-50.00000000000001,0.0,-50.00000000000001
370,-43.333333333333336,0.0,-43.333333333333336
371,-40.833333333333336,0.0,-40.833333333333336
372,-15.833333333333329,0.0,-15.833333333333329
373,-59.16666666666667,-21.666666666666657,-37.500000000000014
374,-10.833333333333329,0.0,-10.833333333333329
375,-47.50000000000001,0.0,-47.50000000000001
376,-31.666666666666664,0.0,-31.666666666666664
377,-21.666666666666657,0.0,-21.666666666666657
378,-49.166666666666664,-21.66666666666667,-27.499999999999993
379,-47.50000000000001,-38.33333333333334,-9.166666666666664
380,-47.5,0.0,-47.5
381,-58.333333333333336,0.0,-58.333333333333336
382,0.0,0.0,0.0
383,-10.833333333333329,0.0,-10.833333333333329
384,-14.166666666666657,0.0,-14.166666666666657
385,-30.0,-21.666666666666657,-8.333333333333343
386,0.0,0.0,0.0
387,-30.000000000000007,0.0,-30.000000000000007
388,-10.833333333333343,0.0,-10.833333333333343
389,-33.333333333333336,-10.833333333333329,-22.500000000000007
390,-28.333333333333343,-10.833333333333329,-17.500000000000014
391,-25.0,-14.166666666666657,-10.833333333333343
392,-15.833333333333329,0.0,-15.833333333333329
393,0.0,0.0,0.0
394,-22.5,-20.833333333333343,-1.6666666666666572
395,-14.166666666666671,0.0,-14.166666666666671
396,-36.666666666666664,-21.66666666666667,-14.999999999999993
397,-44.166666666666664,-20.83333333333333,-23.333333333333336
398,-20.83333333333333,0.0,-20.83333333333333
399,-52.49999999999999,0.0,-52.49999999999999
400,-54.166666666666664,0.0,-54.166666666666664
401,-27.5,0.0,-27.5
402,-16.66666666666667,0.0,-16.66666666666667
403,-45.833333333333336,-11.666666666666671,-34.166666666666664
404,-53.333333333333336,-20.83333333333333,-32.50000000000001
405,-10.833333333333343,0.0,-10.833333333333343
