,speed_advantage_ratio
0,0.875
1,0.5714285714285714
2,0.3125
3,0.05555555555555555
4,5.333333333333333
5,0.8181818181818182
6,1.625
7,0.21428571428571427
8,3.0
9,0.8181818181818182
10,1.125
11,0.8181818181818182
12,0.8888888888888888
13,1.25
14,2.8
15,0.5833333333333334
16,1.0
17,6.0
18,1.1
19,1.4285714285714286
20,1.7142857142857142
21,7.0
22,1.0
23,0.3076923076923077
24,0.7
25,0.7272727272727273
26,0.3333333333333333
27,5.5
28,0.9090909090909091
29,1.5
30,1.75
31,0.6666666666666666
32,3.75
33,4.333333333333333
34,0.46153846153846156
35,0.9230769230769231
36,0.8461538461538461
37,0.4
38,1.4444444444444444
39,1.1
40,1.8571428571428572
41,1.5
42,18.0
43,1.1111111111111112
44,12.0
45,0.6428571428571429
46,0.5384615384615384
47,0.8
48,16.0
49,0.6666666666666666
50,1.125
51,1.0
52,5.666666666666667
53,0.42857142857142855
54,9.5
55,1.0
56,0.6363636363636364
57,0.5454545454545454
58,0.5
59,0.18181818181818182
60,2.75
61,1.5
62,1.0
63,3.75
64,0.125
65,1.4444444444444444
66,4.0
67,4.333333333333333
68,0.4375
69,3.5
70,0.29411764705882354
71,0.7142857142857143
72,0.45454545454545453
73,0.47058823529411764
74,7.0
75,4.75
76,2.5
77,1.2222222222222223
78,2.8
79,0.6666666666666666
80,2.6666666666666665
81,0.6
82,1.25
83,1.2222222222222223
84,0.9090909090909091
85,0.8571428571428571
86,0.4375
87,1.0
88,1.625
89,0.4
90,1.75
91,3.0
92,5.333333333333333
93,1.7142857142857142
94,1.5
95,10.5
96,0.5454545454545454
97,2.6
98,0.8333333333333334
99,4.0
100,0.21428571428571427
101,5.0
102,0.7
103,2.25
104,1.1818181818181819
105,3.5
106,2.4
107,3.0
108,0.7
109,1.1428571428571428
110,0.8888888888888888
111,1.125
112,3.25
113,1.3333333333333333
114,0.75
115,0.4375
116,0.4375
117,1.75
118,2.2857142857142856
119,1.125
120,0.7142857142857143
121,1.75
122,1.8571428571428572
123,3.0
124,1.5
125,4.75
126,6.5
127,1.1111111111111112
128,1.1
129,2.5
130,2.6666666666666665
131,0.14285714285714285
132,0.4666666666666667
133,10.5
134,1.7142857142857142
135,1.4444444444444444
136,4.5
137,0.16666666666666666
138,2.5
139,1.625
140,2.142857142857143
141,0.9
142,0.42857142857142855
143,0.6666666666666666
144,2.3333333333333335
145,0.6363636363636364
146,0.8
147,3.0
148,0.5
149,0.23529411764705882
150,1.125
151,0.9090909090909091
152,1.25
153,3.1666666666666665
154,2.75
155,12.0
156,0.7272727272727273
157,7.5
158,1.2
159,2.2857142857142856
160,3.0
161,0.0625
162,3.5
163,0.6666666666666666
164,3.2
165,0.5
166,1.4285714285714286
167,2.8333333333333335
168,0.6
169,0.9
170,3.0
171,1.6
172,2.2
173,2.1666666666666665
174,2.0
175,0.26666666666666666
176,1.0
177,1.0
178,2.142857142857143
179,0.625
180,0.3076923076923077
181,2.1666666666666665
182,1.25
183,6.333333333333333
184,0.21428571428571427
185,2.0
186,3.3333333333333335
187,0.10526315789473684
188,1.4285714285714286
189,0.36363636363636365
190,3.5
191,1.2222222222222223
192,6.0
193,25.0
194,0.6428571428571429
195,2.2857142857142856
196,1.2
197,0.05
198,1.0
199,3.5
200,0.8181818181818182
201,1.0
202,1.625
203,1.3
204,21.0
205,0.6666666666666666
206,1.4
207,1.25
208,1.7142857142857142
209,1.3
210,0.25
211,1.75
212,0.8333333333333334
213,2.3333333333333335
214,1.1428571428571428
215,1.7142857142857142
216,1.2
217,1.2
218,1.0
219,0.3
220,1.8
221,2.2857142857142856
222,3.3333333333333335
223,0.5
224,6.0
225,0.3076923076923077
226,3.1666666666666665
227,2.3333333333333335
228,0.8181818181818182
229,4.5
230,0.25
231,2.0
232,0.35714285714285715
233,0.5
234,1.3333333333333333
235,0.36363636363636365
236,14.0
237,1.1818181818181819
238,0.8
239,1.5
240,0.9
241,0.36363636363636365
242,0.07142857142857142
243,2.5
244,0.3076923076923077
245,0.75
246,1.5
247,1.2857142857142858
248,1.3
249,1.5714285714285714
250,1.0
251,9.0
252,0.21739130434782608
253,0.05
254,1.5
255,1.6
256,4.5
257,1.3333333333333333
258,0.1
259,3.0
260,2.142857142857143
261,0.36363636363636365
262,2.0
263,1.6
264,3.5
265,0.23076923076923078
266,0.6666666666666666
267,1.375
268,0.46153846153846156
269,0.6363636363636364
270,1.2222222222222223
271,3.5
272,2.8
273,10.0
274,0.5384615384615384
275,0.29411764705882354
276,0.15789473684210525
277,1.0
278,0.7692307692307693
279,3.5
280,1.8571428571428572
281,1.2
282,0.7142857142857143
283,0.7142857142857143
284,0.7777777777777778
285,0.2857142857142857
286,0.5384615384615384
287,2.2
288,11.0
289,0.75
290,2.0
291,1.5714285714285714
292,0.3076923076923077
293,3.0
294,1.0
295,1.0
296,0.14285714285714285
297,1.75
298,1.75
299,3.5
300,0.11764705882352941
301,3.75
302,0.05555555555555555
303,2.5714285714285716
304,0.75
305,0.375
306,1.7142857142857142
307,2.6
308,5.333333333333333
309,0.7692307692307693
310,4.25
311,0.3333333333333333
312,1.3333333333333333
313,1.5
314,5.0
315,0.5833333333333334
316,1.125
317,0.23529411764705882
318,0.7
319,0.8333333333333334
320,2.0
321,1.2857142857142858
322,0.25
323,1.25
324,1.5
325,1.0
326,1.4285714285714286
327,23.0
328,3.0
329,3.25
330,0.3333333333333333
331,0.21428571428571427
332,0.26666666666666666
333,0.45454545454545453
334,1.1
335,0.4166666666666667
336,0.6666666666666666
337,0.2
338,0.375
339,0.4166666666666667
340,2.0
341,4.25
342,2.0
343,0.5555555555555556
344,1.1818181818181819
345,8.5
346,0.6428571428571429
347,1.3
348,0.5
349,0.5714285714285714
350,1.4285714285714286
351,2.1666666666666665
352,0.3125
353,2.0
354,2.1666666666666665
355,0.9090909090909091
356,0.9
357,4.25
358,1.7142857142857142
359,5.5
360,1.75
361,2.0
362,0.5454545454545454
363,0.5
364,3.25
365,0.9
366,1.0
367,0.5
368,1.4
369,2.6666666666666665
370,1.0
371,3.25
372,1.0
373,0.5
374,1.4444444444444444
375,2.25
376,1.25
377,28.0
378,1.7142857142857142
379,0.17647058823529413
380,0.38461538461538464
381,1.0
382,0.4444444444444444
383,4.75
384,4.0
385,0.5
386,26.0
387,0.46153846153846156
388,1.0
389,1.5
390,0.38461538461538464
391,0.4444444444444444
392,0.1
393,0.625
394,0.7777777777777778
395,1.3333333333333333
396,0.75
397,0.26666666666666666
398,0.8333333333333334
399,1.875
400,0.3
401,1.5714285714285714
402,9.0
403,0.7777777777777778
404,1.4
405,2.142857142857143
406,0.5833333333333334
407,10.0
408,3.0
409,1.8571428571428572
410,2.0
411,0.7777777777777778
412,0.7857142857142857
413,0.25
414,0.5
415,0.7
416,1.0
417,0.75
418,10.0
419,2.8
420,2.5
421,5.0
422,1.5
423,1.125
424,5.333333333333333
425,0.38461538461538464
426,1.0
427,3.25
428,5.0
429,0.8181818181818182
430,0.42857142857142855
431,3.2
432,0.13333333333333333
433,1.125
434,0.8333333333333334
435,0.3888888888888889
436,0.5555555555555556
437,0.5
438,2.0
439,1.0
440,3.0
441,3.4
442,1.8571428571428572
443,1.4444444444444444
444,0.3333333333333333
445,5.666666666666667
446,2.1666666666666665
447,0.5
448,0.15789473684210525
449,1.4285714285714286
450,0.25
451,1.0
452,6.5
453,17.0
454,0.8888888888888888
455,2.6
456,0.6666666666666666
457,9.5
458,0.21739130434782608
459,1.8571428571428572
460,3.2
461,6.5
462,1.0
463,0.23076923076923078
464,0.375
465,1.2222222222222223
466,0.875
467,3.1666666666666665
468,0.5
469,15.0
470,2.1666666666666665
471,6.333333333333333
472,2.25
473,2.5
474,0.7
475,1.875
476,1.25
477,3.75
478,0.36363636363636365
479,0.3333333333333333
480,0.19047619047619047
481,4.333333333333333
482,1.7777777777777777
483,1.5
484,2.0
485,0.5833333333333334
486,4.333333333333333
487,1.4285714285714286
488,1.0
489,0.4166666666666667
490,1.2857142857142858
491,5.0
492,1.1666666666666667
493,0.5
494,0.9
495,0.5454545454545454
496,22.0
497,1.0
498,0.25
499,0.6363636363636364
500,4.666666666666667
501,0.043478260869565216
502,0.11764705882352941
503,5.5
504,2.6
505,1.6666666666666667
506,0.35714285714285715
507,0.5
508,1.1666666666666667
509,0.5
510,5.0
511,0.7142857142857143
512,0.8181818181818182
513,0.1875
514,17.0
515,1.0
516,3.0
517,0.21428571428571427
518,3.0
519,2.3333333333333335
520,1.8333333333333333
521,5.666666666666667
522,2.0
523,4.0
524,0.8888888888888888
525,2.1666666666666665
526,1.4285714285714286
527,0.875
528,0.5
529,0.75
530,2.0
531,1.4444444444444444
532,1.4285714285714286
533,3.6
