,p1_sum_atk_last,p2_sum_atk_last
0,190.0,447.8
1,180.0,435.0
2,115.0,387.8
3,200.0,572.8
4,250.0,468.9
5,425.0,428.9
6,235.0,400.0
7,240.0,477.8
8,50.0,405.0
9,305.0,450.0
10,5.0,425.0
11,80.0,443.9
12,245.0,375.0
13,290.0,388.9
14,205.0,417.8
15,235.0,447.8
16,385.0,388.9
17,70.0,437.9
18,190.0,380.0
19,210.0,575.0
20,255.0,333.9
21,240.0,502.9
22,5.0,443.9
23,160.0,443.9
24,100.0,455.0
25,150.0,538.9
26,260.0,425.0
27,150.0,542.8
28,190.0,470.0
29,190.0,445.0
30,115.0,548.9
31,295.0,448.9
32,100.0,285.0
33,505.0,455.0
34,150.0,450.0
35,5.0,455.0
36,185.0,515.0
37,300.0,408.9
38,515.0,450.0
39,200.0,445.0
40,180.0,470.0
41,170.0,539.0
42,285.0,498.9
43,225.0,440.0
44,265.0,433.9
45,240.0,445.0
46,130.0,370.0
47,190.0,490.0
48,225.0,452.8
49,115.0,475.0
50,105.0,450.0
51,275.0,476.8
52,165.0,390.0
53,165.0,443.9
54,230.0,450.0
55,335.0,538.9
56,345.0,415.0
57,450.0,515.0
58,5.0,445.0
59,70.0,278.9
60,235.0,418.9
61,320.0,323.9
62,240.0,515.0
63,215.0,535.0
64,450.0,388.9
65,210.0,465.0
66,395.0,580.0
67,410.0,408.9
68,115.0,338.9
69,155.0,457.8
70,165.0,398.9
71,80.0,482.9
72,290.0,435.0
73,180.0,377.8
74,305.0,475.0
75,205.0,497.9
76,115.0,450.0
77,260.0,450.0
78,245.0,495.0
79,220.0,465.0
80,255.0,485.0
81,305.0,533.9
82,135.0,308.9
83,240.0,503.9
84,145.0,522.8
85,150.0,487.9
86,165.0,450.0
87,295.0,547.8
88,130.0,355.0
89,160.0,498.9
90,115.0,443.9
91,245.0,490.0
92,240.0,468.9
93,100.0,445.0
94,175.0,405.0
95,150.0,443.9
96,110.0,510.0
97,165.0,443.9
98,205.0,450.0
99,255.0,342.8
100,55.0,340.0
101,195.0,515.0
102,305.0,413.9
103,165.0,380.0
104,210.0,513.9
105,380.0,360.0
106,105.0,418.9
107,130.0,470.0
108,435.0,498.9
109,485.0,543.9
110,400.0,435.0
111,290.0,450.0
112,170.0,458.9
113,375.0,515.0
114,440.0,418.9
115,245.0,438.9
116,355.0,388.9
117,320.0,343.9
118,305.0,378.9
119,165.0,515.0
120,235.0,405.0
121,140.0,470.0
122,385.0,458.9
123,225.0,490.0
124,165.0,468.9
125,220.0,348.9
126,150.0,388.9
127,275.0,468.9
128,190.0,355.0
129,245.0,488.9
130,260.0,490.0
131,165.0,420.0
132,105.0,443.9
133,100.0,357.8
134,415.0,435.0
135,280.0,453.9
136,395.0,500.0
137,65.0,483.9
138,250.0,435.0
139,165.0,467.8
140,250.0,418.9
141,340.0,475.0
142,140.0,503.9
143,215.0,480.0
144,225.0,445.0
145,305.0,413.9
146,360.0,450.0
147,50.0,370.0
148,410.0,428.9
149,395.0,495.0
150,295.0,410.0
151,280.0,445.0
152,355.0,399.0
153,210.0,520.0
154,385.0,555.0
155,355.0,435.0
156,250.0,483.9
157,210.0,515.0
158,260.0,410.0
159,300.0,343.9
160,230.0,468.9
161,260.0,430.0
162,310.0,425.0
163,55.0,435.0
164,200.0,355.0
165,260.0,418.9
166,250.0,495.0
167,55.0,388.9
168,225.0,470.0
169,205.0,540.0
170,95.0,325.0
171,230.0,405.0
172,285.0,468.9
173,115.0,400.0
174,240.0,470.0
175,310.0,430.0
176,155.0,400.0
177,80.0,468.9
178,245.0,465.0
179,245.0,435.0
180,340.0,433.9
181,190.0,375.0
182,210.0,435.0
183,210.0,468.9
184,340.0,485.0
185,335.0,380.0
186,250.0,420.0
187,155.0,450.0
188,70.0,430.0
189,420.0,458.9
190,210.0,438.9
191,190.0,230.0
192,190.0,515.0
193,5.0,447.8
194,305.0,380.0
195,105.0,478.9
196,230.0,507.8
197,295.0,435.0
198,134.0,468.9
199,150.0,433.9
200,55.0,495.0
201,100.0,515.0
202,265.0,475.0
203,260.0,604.0
204,260.0,523.9
205,100.0,445.0
206,400.0,422.8
207,345.0,515.0
208,335.0,531.8
209,170.0,396.70000000000005
210,385.0,407.8
211,355.0,428.9
212,280.0,445.0
213,225.0,515.0
214,265.0,463.9
215,375.0,465.0
216,350.0,607.9
217,95.0,528.9
218,285.0,338.9
219,195.0,330.0
220,190.0,460.0
221,275.0,498.9
222,95.0,240.0
223,150.0,530.0
224,175.0,444.0
225,155.0,435.0
226,245.0,403.9
227,210.0,553.9
228,165.0,240.0
229,340.0,407.8
230,155.0,450.0
231,190.0,522.8
232,285.0,501.70000000000005
233,195.0,425.0
234,255.0,503.9
235,265.0,395.0
236,280.0,442.8
237,200.0,433.9
238,190.0,470.0
239,395.0,465.0
240,215.0,420.0
241,165.0,360.0
242,160.0,553.5
243,140.0,472.8
244,200.0,425.0
245,395.0,490.0
246,360.0,515.0
