,p1_sum_def_last,p2_sum_def_last
0,155.0,398.8
1,210.0,380.0
2,70.0,368.8
3,150.0,473.8
4,230.0,416.9
5,420.0,361.9
6,240.0,385.0
7,225.0,403.8
8,45.0,420.0
9,250.0,435.0
10,5.0,505.0
11,115.0,376.9
12,225.0,365.0
13,250.0,331.9
14,150.0,413.8
15,205.0,403.8
16,430.0,341.9
17,65.0,381.9
18,155.0,305.0
19,155.0,485.0
20,185.0,311.9
21,265.0,441.9
22,5.0,431.9
23,100.0,376.9
24,95.0,465.0
25,125.0,506.9
26,200.0,450.0
27,230.0,468.8
28,155.0,405.0
29,180.0,390.0
30,70.0,511.9
31,235.0,436.9
32,95.0,245.0
33,465.0,520.0
34,140.0,395.0
35,5.0,475.0
36,190.0,455.0
37,265.0,341.9
38,455.0,395.0
39,150.0,375.0
40,185.0,490.0
41,160.0,485.0
42,240.0,441.9
43,220.0,360.0
44,210.0,381.9
45,190.0,395.0
46,125.0,345.0
47,220.0,575.0
48,315.0,403.8
49,70.0,420.0
50,100.0,395.0
51,270.0,433.8
52,105.0,365.0
53,180.0,426.9
54,175.0,395.0
55,285.0,451.9
56,280.0,395.0
57,380.0,455.0
58,5.0,445.0
59,65.0,276.9
60,300.0,391.9
61,310.0,306.9
62,225.0,455.0
63,165.0,635.0
64,395.0,406.9
65,155.0,430.0
66,365.0,570.0
67,345.0,426.9
68,70.0,281.9
69,135.0,413.8
70,155.0,371.9
71,90.0,386.9
72,230.0,445.0
73,185.0,373.8
74,335.0,405.0
75,215.0,401.9
76,135.0,435.0
77,190.0,395.0
78,215.0,515.0
79,240.0,395.0
80,215.0,430.0
81,295.0,536.9
82,125.0,301.9
83,225.0,461.9
84,225.0,453.8
85,130.0,544.9
86,145.0,445.0
87,235.0,518.8
88,125.0,280.0
89,110.0,441.9
90,70.0,366.9
91,225.0,415.0
92,235.0,421.9
93,95.0,375.0
94,180.0,430.0
95,135.0,366.9
96,130.0,475.0
97,115.0,376.9
98,150.0,380.0
99,185.0,338.8
100,40.0,295.0
101,180.0,455.0
102,315.0,341.9
103,155.0,350.0
104,155.0,456.9
105,380.0,295.0
106,100.0,366.9
107,120.0,390.0
108,530.0,466.9
109,590.0,471.9
110,330.0,380.0
111,315.0,380.0
112,160.0,411.9
113,310.0,455.0
114,390.0,366.9
115,215.0,391.9
116,310.0,331.9
117,310.0,271.9
118,295.0,361.9
119,105.0,455.0
120,220.0,355.0
121,130.0,490.0
122,360.0,486.9
123,220.0,415.0
