,p1_sum_hp_last,p2_sum_hp_last
0,600.0,498.9
1,420.0,695.0
2,650.0,623.9
3,325.0,588.9
4,525.0,731.95
5,620.0,781.95
6,220.0,335.0
7,380.0,538.9
8,135.0,405.0
9,575.0,635.0
10,345.0,365.0
11,405.0,791.95
12,315.0,550.0
13,545.0,666.95
14,420.0,678.9
15,695.0,668.9
16,650.0,676.95
17,475.0,622.95
18,745.0,665.0
19,505.0,590.0
20,485.0,566.95
21,510.0,667.95
22,385.0,701.95
23,610.0,726.95
24,75.0,695.0
25,580.0,596.95
26,625.0,650.0
27,525.0,578.9
28,525.0,715.0
29,165.0,450.0
30,500.0,511.95
31,710.0,661.95
32,325.0,295.0
33,455.0,605.0
34,130.0,705.0
35,590.0,685.0
36,660.0,745.0
37,575.0,711.95
38,745.0,700.0
39,710.0,765.0
40,475.0,690.0
41,540.0,676.0
42,656.0,761.95
43,535.0,525.0
44,590.0,716.95
45,705.0,725.0
46,375.0,350.0
47,465.0,730.0
48,585.0,748.9
49,485.0,730.0
50,490.0,700.0
51,545.0,679.9
52,605.0,460.0
53,476.0,411.95
54,685.0,700.0
55,685.0,526.95
56,740.0,705.0
57,725.0,745.0
58,345.0,465.0
59,475.0,516.95
60,340.0,746.95
61,445.0,601.95
62,600.0,745.0
63,485.0,445.0
64,700.0,596.95
65,580.0,710.0
66,575.0,595.0
67,710.0,676.95
68,640.0,646.95
69,530.0,728.9
70,268.0,626.95
71,440.0,782.95
72,385.0,615.0
73,545.0,598.9
74,645.0,715.0
75,500.0,727.95
76,390.0,655.0
77,795.0,700.0
78,235.0,720.0
79,305.0,735.0
80,605.0,710.0
81,765.0,516.95
82,340.0,551.95
83,570.0,541.95
84,690.0,568.9
85,485.0,439.95
86,160.0,645.0
87,710.0,608.9
88,375.0,395.0
89,350.0,761.95
90,485.0,736.95
91,535.0,740.0
92,645.0,776.95
93,75.0,765.0
94,185.0,630.0
95,740.0,736.95
96,80.0,530.0
97,615.0,726.95
98,310.0,725.0
99,490.0,588.9
100,610.0,600.0
101,220.0,745.0
102,515.0,701.95
103,140.0,580.0
104,670.0,536.95
105,390.0,635.0
106,380.0,711.95
107,165.0,470.0
108,580.0,796.95
109,445.0,571.95
110,510.0,695.0
111,465.0,725.0
112,385.0,766.95
113,700.0,745.0
114,540.0,711.95
115,485.0,696.95
116,700.0,691.95
117,285.0,661.95
118,560.0,601.95
119,530.0,745.0
120,430.0,660.0
121,145.0,690.0
122,730.0,686.95
123,460.0,740.0
124,525.0,731.95
125,260.0,691.95
126,525.0,601.95
127,395.0,766.95
128,575.0,575.0
129,180.0,556.95
130,545.0,750.0
131,140.0,660.0
132,380.0,726.95
133,485.0,393.9
134,495.0,595.0
135,440.0,411.95
136,730.0,735.0
137,210.0,476.95
138,540.0,705.0
139,730.0,798.9
140,380.0,746.95
141,510.0,730.0
142,290.0,446.95
143,541.0,690.0
144,450.0,765.0
145,580.0,376.95
146,320.0,725.0
147,130.0,405.0
148,745.0,781.95
149,330.0,380.0
150,535.0,645.0
151,495.0,690.0
152,445.0,641.0
153,650.0,545.0
154,665.0,580.0
155,395.0,730.0
156,590.0,471.95
157,415.0,745.0
158,635.0,700.0
159,420.0,616.95
160,450.0,731.95
161,695.0,690.0
162,650.0,730.0
163,365.0,430.0
164,420.0,640.0
165,475.0,746.95
166,565.0,710.0
167,630.0,601.95
168,545.0,720.0
169,405.0,525.0
170,95.0,570.0
171,465.0,620.0
172,515.0,766.95
173,180.0,670.0
174,530.0,725.0
175,490.0,700.0
176,610.0,735.0
177,465.0,731.95
178,590.0,420.0
179,515.0,705.0
180,515.0,741.95
181,540.0,630.0
182,545.0,705.0
183,455.0,731.95
