,p1_sum_spd_last,p2_sum_spd_last
0,270.0,479.5
1,255.0,600.0
2,170.0,629.5
3,190.0,549.5
4,435.0,559.75
5,600.0,619.75
6,330.0,340.0
7,330.0,554.5
8,135.0,450.0
9,365.0,580.0
10,105.0,540.0
11,185.0,594.75
12,330.0,450.0
13,340.0,459.75
14,190.0,674.5
15,420.0,619.5
16,425.0,629.75
17,235.0,634.75
18,270.0,600.0
19,295.0,525.0
20,285.0,529.75
21,395.0,549.75
22,105.0,589.75
23,160.0,594.75
24,70.0,545.0
25,325.0,544.75
26,430.0,590.0
27,325.0,514.5
28,270.0,480.0
29,195.0,490.0
30,170.0,594.75
31,390.0,619.75
32,70.0,235.0
33,615.0,500.0
34,205.0,575.0
35,105.0,585.0
36,355.0,510.0
37,365.0,654.75
38,510.0,595.0
39,265.0,595.0
40,275.0,580.0
41,285.0,545.0
42,395.0,534.75
43,465.0,450.0
44,375.0,619.75
45,365.0,625.0
46,300.0,525.0
47,260.0,515.0
48,425.0,584.5
49,170.0,590.0
50,175.0,595.0
51,400.0,619.5
52,265.0,535.0
53,295.0,574.75
54,435.0,595.0
55,530.0,559.75
56,525.0,515.0
57,625.0,510.0
58,105.0,405.0
59,235.0,564.75
60,305.0,604.75
61,430.0,499.75
62,405.0,510.0
63,240.0,595.0
64,595.0,619.75
65,295.0,575.0
66,555.0,520.0
67,415.0,574.75
68,170.0,524.75
69,270.0,529.5
70,200.0,659.75
71,205.0,589.75
72,285.0,590.0
73,275.0,439.5
74,380.0,525.0
75,180.0,564.75
76,160.0,575.0
77,390.0,595.0
78,250.0,575.0
79,340.0,600.0
80,400.0,515.0
81,375.0,549.75
82,230.0,559.75
83,405.0,584.75
84,220.0,584.5
85,165.0,629.75
86,190.0,615.0
87,390.0,529.5
88,300.0,355.0
89,200.0,534.75
90,170.0,554.75
91,330.0,545.0
92,460.0,639.75
93,70.0,595.0
94,170.0,450.0
95,365.0,554.75
96,55.0,385.0
97,305.0,594.75
98,190.0,625.0
99,285.0,519.5
100,200.0,475.0
101,175.0,510.0
102,485.0,559.75
103,180.0,480.0
104,295.0,589.75
105,345.0,500.0
106,175.0,624.75
107,45.0,480.0
108,510.0,514.75
109,460.0,609.75
110,365.0,600.0
111,330.0,625.0
112,305.0,529.75
113,495.0,510.0
114,490.0,624.75
115,290.0,564.75
116,470.0,569.75
117,430.0,484.75
118,375.0,594.75
119,265.0,510.0
120,220.0,605.0
121,260.0,580.0
122,445.0,549.75
123,465.0,545.0
124,320.0,559.75
