,p1_sum_spe_last,p2_sum_spe_last
0,157.5,338.5
1,190.0,311.25
2,80.0,468.5
3,130.0,471.0
4,297.5,275.5
5,468.75,358.0
6,232.5,278.75
7,330.0,433.5
8,30.0,282.5
9,252.5,497.5
10,50.0,387.5
11,57.5,368.0
12,112.5,387.5
13,267.5,348.0
14,85.0,359.75
15,260.0,451.0
16,228.75,415.5
17,160.0,288.0
18,157.5,271.25
19,135.0,430.0
20,138.75,374.25
21,202.5,240.5
22,50.0,339.25
23,125.0,404.25
24,110.0,372.5
25,91.25,288.0
26,127.5,347.5
27,240.0,407.25
28,157.5,368.75
29,210.0,337.5
30,80.0,423.0
31,195.0,398.0
32,110.0,172.5
33,565.0,285.0
34,230.0,490.0
35,50.0,356.25
36,152.5,313.75
37,237.5,408.0
38,340.0,350.0
39,72.5,387.5
40,275.0,387.5
41,252.5,420.0
42,163.75,190.5
43,302.5,151.25
44,310.0,271.75
45,218.75,450.0
46,151.25,405.0
47,172.5,280.0
48,265.0,332.25
49,57.5,385.0
50,160.0,323.75
51,292.5,374.75
52,103.75,367.5
53,177.5,411.75
54,220.0,222.5
55,280.0,433.0
56,146.25,370.0
57,427.5,276.25
58,50.0,335.0
59,122.5,385.5
60,190.0,343.0
61,272.5,285.5
62,212.5,358.75
63,190.0,368.75
64,410.0,430.5
65,135.0,191.25
66,282.5,265.0
67,302.5,315.5
68,42.5,215.5
69,183.75,361.0
70,137.5,353.0
71,165.0,410.5
72,100.0,318.75
73,151.25,328.5
74,205.0,290.0
75,100.0,423.0
76,95.0,346.25
77,230.0,432.5
78,265.0,336.25
79,115.0,317.5
80,267.5,368.75
81,181.25,345.5
82,90.0,289.25
83,340.0,369.25
84,47.5,363.5
85,133.75,545.5
86,170.0,363.75
87,157.5,281.0
88,260.0,218.75
89,150.0,329.25
90,80.0,349.25
91,195.0,315.0
92,330.0,239.25
93,110.0,260.0
94,138.75,138.75
95,183.75,270.5
96,45.0,220.0
97,200.0,381.75
98,85.0,326.25
99,180.0,302.25
100,107.5,338.75
101,150.0,358.75
