,p1_sum_stats_last,p2_sum_stats_last
0,1512.5,2643.0
1,1510.0,3021.25
2,1015.0,3108.0
3,1110.0,3205.5
4,2122.5,3012.75
5,3133.75,3170.25
6,1587.5,2078.75
7,1675.0,2963.0
8,450.0,2412.5
9,2112.5,3177.5
10,520.0,2762.5
11,967.5,3170.25
12,1467.5,2577.5
13,2032.5,2655.25
14,1075.0,3219.25
15,2080.0,3210.5
16,2488.75,3082.75
17,1075.0,3000.25
18,1512.5,2821.25
19,1595.0,3130.0
20,1468.75,2646.5
21,1942.5,2952.75
22,520.0,3096.5
23,930.0,3141.5
24,520.0,3077.5
25,1426.25,3020.25
26,2007.5,3052.5
27,1625.0,3026.75
28,1512.5,2918.75
29,1135.0,2602.5
30,1015.0,3185.25
31,2140.0,3185.25
32,520.0,1467.5
33,3220.0,2865.0
34,1060.0,3190.0
35,520.0,3141.25
36,1672.5,3048.75
37,2107.5,3180.25
38,3075.0,3085.0
39,1492.5,3162.5
40,1575.0,3197.5
41,1542.5,3210.0
42,2043.75,2962.75
43,2137.5,2376.25
44,2075.0,3044.0
45,1913.75,3265.0
46,1381.25,2520.0
47,1492.5,3105.0
48,2070.0,3106.75
49,992.5,3190.0
50,1040.0,3058.75
51,2117.5,3204.25
52,1378.75,2652.5
53,1497.5,2844.0
54,2020.0,2957.5
55,2580.0,3070.25
56,2511.25,2915.0
57,3232.5,3011.25
58,520.0,2500.0
59,1037.5,2587.75
60,1540.0,3110.25
61,2047.5,2517.75
62,1997.5,3093.75
63,1535.0,3173.75
64,3145.0,3062.75
65,1595.0,2946.25
66,2567.5,3050.0
67,2537.5,2977.75
68,977.5,2532.75
69,1403.75,3020.5
70,992.5,3070.25
71,1055.0,3242.75
72,1575.0,2993.75
73,1451.25,2558.0
74,2160.0,2935.0
75,1055.0,3180.25
76,995.0,3036.25
77,2030.0,3167.5
78,1460.0,3216.25
79,1500.0,3112.5
80,2067.5,3023.75
81,2041.25,3032.75
82,995.0,2571.5
83,2125.0,3046.5
84,962.5,3078.0
85,883.75,3277.75
86,1020.0,3133.75
87,2102.5,3015.5
88,1490.0,1958.75
89,1035.0,3101.5
90,1015.0,3006.5
91,1550.0,3050.0
92,2190.0,3186.5
93,520.0,3035.0
94,968.75,2503.75
95,1598.75,2927.75
96,475.0,2505.0
97,1555.0,3119.0
98,1075.0,3131.25
99,1510.0,2611.75
100,917.5,2523.75
101,1040.0,3093.75
102,2482.5,3052.75
103,1060.0,2555.0
104,1595.0,3175.25
105,2092.5,2501.25
106,1040.0,3070.25
107,485.0,2568.75
108,2926.25,3077.75
109,2633.75,3292.75
110,2115.0,3062.5
111,1963.75,3206.25
112,1512.5,2929.0
113,2632.5,3067.5
114,2528.75,3074.0
115,1452.5,3029.0
116,2542.5,3052.75
117,2175.0,2494.0
118,2078.75,3021.5
119,1412.5,3135.0
120,1487.5,3165.0
121,1065.0,3122.5
122,2465.0,3010.25
123,2085.0,3050.0
124,1640.0,3136.5
125,1655.0,2620.25
126,1512.5,2524.0
127,1555.0,3011.5
128,1796.25,2662.5
129,1625.0,2971.5
130,2010.0,2993.75
131,1060.0,2590.0
132,1040.0,3141.5
133,520.0,2023.0
134,2035.0,3083.75
135,1587.5,2621.5
136,2590.0,2975.0
137,540.0,3045.25
138,2160.0,2998.75
139,1555.0,3098.0
140,1650.0,3072.75
141,1962.5,3137.5
142,987.5,2994.0
143,1970.0,3173.75
144,1490.0,3158.75
145,1531.25,2666.5
146,2006.25,3105.0
147,540.0,2138.75
148,2008.75,3117.75
149,2068.75,3190.0
150,2185.0,2932.5
151,1587.5,2863.75
152,2135.0,2476.25
153,1595.0,2917.5
154,1987.5,3095.0
155,2030.0,3042.5
156,2107.5,3102.75
157,1540.0,3048.75
158,2112.5,2891.25
159,1555.0,2482.75
160,2010.0,3177.75
161,1833.75,3225.0
162,1973.75,3128.75
163,970.0,2560.0
164,1578.75,2393.75
165,2172.5,3069.0
166,2122.5,3073.75
167,1060.0,2520.25
168,1418.75,3060.0
169,1075.0,3122.5
170,580.0,2420.0
171,1532.5,2575.0
172,2061.25,3075.25
173,1080.0,2655.0
174,1965.0,2942.5
175,2022.5,3095.0
176,1403.75,2972.5
177,1055.0,3140.25
178,1500.0,2608.75
179,1477.5,2905.0
180,2028.75,3236.5
181,1715.0,2302.5
182,1475.0,2961.25
183,1585.0,3091.5
184,2080.0,3042.5
185,1985.0,2587.5
186,1950.0,2532.5
187,1437.5,3270.0
188,440.0,2840.0
189,2517.5,3171.5
190,1553.75,3046.5
191,1636.25,1873.75
192,1145.0,3011.25
193,520.0,2538.0
194,1512.5,2587.5
195,1040.0,3031.5
196,2012.5,3148.0
197,1926.25,3085.0
198,600.0,3177.75
199,1085.0,3026.5
