,switches_difference
0,-4
1,0
2,2
3,1
4,-2
5,-1
6,-2
7,1
8,0
9,-3
10,-1
11,2
12,0
13,-2
14,9
15,7
16,-5
17,4
18,1
19,2
20,4
21,-2
22,0
23,-2
24,1
25,-4
26,-4
27,0
28,0
29,3
30,1
31,-1
32,-3
33,-2
34,1
35,-5
36,-6
37,-7
38,-1
39,-3
40,2
41,9
42,0
43,-2
44,-3
45,0
46,8
47,-6
48,-10
49,-6
50,-1
51,2
52,-2
53,4
54,-8
55,-4
56,1
57,1
58,-4
59,-3
60,-1
61,-1
62,-5
63,4
64,2
65,-5
66,-4
67,1
68,-1
69,-1
70,2
71,3
72,-2
73,-2
74,-2
75,2
76,-1
77,-2
78,0
79,-1
80,-3
81,0
82,-1
83,1
84,-4
85,-4
86,2
87,5
88,-5
89,-3
90,-4
91,-3
92,-5
93,2
94,1
95,-6
96,0
97,-3
98,-1
99,1
100,0
101,3
102,-2
103,-4
104,-2
105,2
106,0
107,-3
108,1
109,-5
110,-1
111,-1
112,-1
113,-1
114,-3
115,0
116,2
117,-1
118,-5
119,-5
120,-2
121,-1
122,-3
123,0
124,-5
125,-2
126,-2
127,2
128,0
129,2
130,-3
131,0
132,-5
133,0
134,-2
135,-2
136,1
137,0
138,0
139,-1
140,-2
141,0
142,-1
143,-2
144,-4
145,-4
146,0
147,-3
148,1
149,0
150,-3
151,-1
152,-1
153,0
154,-5
155,1
156,-4
157,-3
158,1
159,1
160,3
161,-1
162,0
163,-4
164,0
165,-1
166,-4
167,-5
168,2
169,-5
170,2
171,-4
172,2
173,-2
174,-6
175,1
176,-1
177,-2
178,-2
179,-5
180,5
181,-7
182,3
183,-7
184,-6
185,-1
186,-3
187,-6
188,1
189,2
190,1
191,1
192,-7
193,-3
194,-3
195,-2
196,-2
197,-3
198,-29
199,-4
200,1
201,-8
202,-5
203,1
204,-3
205,-3
206,3
207,-4
208,3
209,-3
210,1
211,1
212,-1
213,-1
214,1
215,4
216,5
217,0
218,-1
219,-4
220,-1
221,-3
222,-1
223,-1
224,-1
225,-5
226,-4
227,3
228,-3
229,2
230,-3
231,-1
232,-2
233,-1
234,-1
